go_id	go_name	gene_count
GO:0009299	mRNA transcription	9
GO:0000733	DNA strand renaturation	3
GO:0034349	glial cell apoptotic process	1
GO:1990248	regulation of transcription from RNA polymerase II promoter in response to DNA damage	1
GO:0097252	oligodendrocyte apoptotic process	1
GO:1905856	negative regulation of pentose-phosphate shunt	1
GO:0051048	negative regulation of secretion	80
GO:1903531	negative regulation of secretion by cell	71
GO:0046888	negative regulation of hormone secretion	20
GO:0090278	negative regulation of peptide hormone secretion	11
GO:0046676	negative regulation of insulin secretion	10
GO:1904950	negative regulation of establishment of protein localization	84
GO:0051224	negative regulation of protein transport	80
GO:0002792	negative regulation of peptide secretion	44
GO:0050709	negative regulation of protein secretion	42
GO:0032892	positive regulation of organic acid transport	6
GO:0032303	regulation of icosanoid secretion	4
GO:0032305	positive regulation of icosanoid secretion	4
GO:2000193	positive regulation of fatty acid transport	4
GO:0051977	lysophospholipid transport	2
GO:0032306	regulation of prostaglandin secretion	1
GO:0032308	positive regulation of prostaglandin secretion	1
GO:0007422	peripheral nervous system development	17
GO:0030852	regulation of granulocyte differentiation	9
GO:0030854	positive regulation of granulocyte differentiation	6
GO:0032276	regulation of gonadotropin secretion	5
GO:0046881	positive regulation of follicle-stimulating hormone secretion	3
GO:0032278	positive regulation of gonadotropin secretion	3
GO:0046880	regulation of follicle-stimulating hormone secretion	3
GO:0032277	negative regulation of gonadotropin secretion	3
GO:0042036	negative regulation of cytokine biosynthetic process	2
GO:0072593	reactive oxygen species metabolic process	60
GO:1903409	reactive oxygen species biosynthetic process	13
GO:2001057	reactive nitrogen species metabolic process	12
GO:0046209	nitric oxide metabolic process	9
GO:0006809	nitric oxide biosynthetic process	8
GO:0034142	toll-like receptor 4 signaling pathway	14
GO:0034127	regulation of MyD88-independent toll-like receptor signaling pathway	7
GO:0034128	negative regulation of MyD88-independent toll-like receptor signaling pathway	7
GO:0002221	pattern recognition receptor signaling pathway	112
GO:0002224	toll-like receptor signaling pathway	87
GO:0002755	MyD88-dependent toll-like receptor signaling pathway	27
GO:0007249	I-kappaB kinase/NF-kappaB signaling	45
GO:0002756	MyD88-independent toll-like receptor signaling pathway	30
GO:0035666	TRIF-dependent toll-like receptor signaling pathway	28
GO:0032490	detection of molecule of bacterial origin	9
GO:0032497	detection of lipopolysaccharide	3
GO:0097191	extrinsic apoptotic signaling pathway	56
GO:0097527	necroptotic signaling pathway	8
GO:0070265	necrotic cell death	22
GO:0097300	programmed necrotic cell death	20
GO:0070266	necroptotic process	18
GO:0097190	apoptotic signaling pathway	178
GO:0097193	intrinsic apoptotic signaling pathway	86
GO:0070936	protein K48-linked ubiquitination	46
GO:0046825	regulation of protein export from nucleus	22
GO:0051451	myoblast migration	2
GO:0044827	modulation by host of viral genome replication	12
GO:0035821	modulation of process of other organism	88
GO:0044788	modulation by host of viral process	22
GO:0072708	response to sorbitol	3
GO:0072739	response to anisomycin	2
GO:0072709	cellular response to sorbitol	1
GO:0072740	cellular response to anisomycin	1
GO:0032571	response to vitamin K	2
GO:0071307	cellular response to vitamin K	2
GO:0031670	cellular response to nutrient	12
GO:0071295	cellular response to vitamin	7
GO:0006336	DNA replication-independent nucleosome assembly	53
GO:0034724	DNA replication-independent nucleosome organization	53
GO:0034508	centromere complex assembly	46
GO:0031055	chromatin remodeling at centromere	43
GO:0043044	ATP-dependent chromatin remodeling	53
GO:0043486	histone exchange	47
GO:0034080	CENP-A containing nucleosome assembly	42
GO:0061641	CENP-A containing chromatin organization	42
GO:0006338	chromatin remodeling	121
GO:0071103	DNA conformation change	171
GO:0006323	DNA packaging	122
GO:0071824	protein-DNA complex subunit organization	148
GO:0065004	protein-DNA complex assembly	122
GO:0006333	chromatin assembly or disassembly	118
GO:0031497	chromatin assembly	99
GO:0034728	nucleosome organization	106
GO:0006334	nucleosome assembly	82
GO:0016233	telomere capping	30
GO:0060249	anatomical structure homeostasis	160
GO:0032200	telomere organization	103
GO:0000723	telomere maintenance	90
GO:0045638	negative regulation of myeloid cell differentiation	48
GO:0040029	regulation of gene expression, epigenetic	115
GO:0045814	negative regulation of gene expression, epigenetic	61
GO:0045652	regulation of megakaryocyte differentiation	75
GO:0060968	regulation of gene silencing	118
GO:0060964	regulation of gene silencing by miRNA	110
GO:0060147	regulation of posttranscriptional gene silencing	113
GO:0060966	regulation of gene silencing by RNA	113
GO:0006684	sphingomyelin metabolic process	6
GO:0006686	sphingomyelin biosynthetic process	2
GO:0019079	viral genome replication	19
GO:0034350	regulation of glial cell apoptotic process	6
GO:0034351	negative regulation of glial cell apoptotic process	6
GO:0043117	positive regulation of vascular permeability	12
GO:0043114	regulation of vascular permeability	30
GO:0043116	negative regulation of vascular permeability	11
GO:0035633	maintenance of blood-brain barrier	10
GO:1905603	regulation of blood-brain barrier permeability	6
GO:1905605	positive regulation of blood-brain barrier permeability	4
GO:0033194	response to hydroperoxide	7
GO:0071447	cellular response to hydroperoxide	4
GO:0090521	glomerular visceral epithelial cell migration	3
GO:1904170	regulation of bleb assembly	2
GO:1904172	positive regulation of bleb assembly	2
GO:0032185	septin cytoskeleton organization	2
GO:0000921	septin ring assembly	1
GO:0031106	septin ring organization	1
GO:0006600	creatine metabolic process	8
GO:0006601	creatine biosynthetic process	2
GO:0043500	muscle adaptation	6
GO:0014889	muscle atrophy	2
GO:0048701	embryonic cranial skeleton morphogenesis	6
GO:0007632	visual behavior	2
GO:0021599	abducens nerve formation	1
GO:0048702	embryonic neurocranium morphogenesis	1
GO:0007634	optokinetic behavior	1
GO:0021598	abducens nerve morphogenesis	1
GO:0060872	semicircular canal development	1
GO:0048752	semicircular canal morphogenesis	1
GO:0021560	abducens nerve development	1
GO:0060876	semicircular canal formation	1
GO:0048839	inner ear development	9
GO:0042472	inner ear morphogenesis	7
GO:0090102	cochlea development	5
GO:0090103	cochlea morphogenesis	4
GO:0021602	cranial nerve morphogenesis	4
GO:0021603	cranial nerve formation	4
GO:0021675	nerve development	8
GO:0021545	cranial nerve development	7
GO:0035235	ionotropic glutamate receptor signaling pathway	4
GO:0035249	synaptic transmission, glutamatergic	1
GO:1901388	regulation of transforming growth factor beta activation	6
GO:0010025	wax biosynthetic process	4
GO:0010166	wax metabolic process	4
GO:0033632	regulation of cell-cell adhesion mediated by integrin	8
GO:0042665	regulation of ectodermal cell fate specification	1
GO:0042666	negative regulation of ectodermal cell fate specification	1
GO:0038030	non-canonical Wnt signaling pathway via MAPK cascade	4
GO:0038031	non-canonical Wnt signaling pathway via JNK cascade	3
GO:1900015	regulation of cytokine production involved in inflammatory response	33
GO:1900017	positive regulation of cytokine production involved in inflammatory response	11
GO:0033630	positive regulation of cell adhesion mediated by integrin	11
GO:0033634	positive regulation of cell-cell adhesion mediated by integrin	4
GO:0031268	pseudopodium organization	2
GO:0042107	cytokine metabolic process	4
GO:0042089	cytokine biosynthetic process	3
GO:0070673	response to interleukin-18	7
GO:0035655	interleukin-18-mediated signaling pathway	7
GO:0071351	cellular response to interleukin-18	7
GO:0042092	type 2 immune response	4
GO:0050755	chemokine metabolic process	1
GO:0032616	interleukin-13 production	1
GO:0042033	chemokine biosynthetic process	1
GO:0051963	regulation of synapse assembly	18
GO:0099174	regulation of presynapse organization	13
GO:1905606	regulation of presynapse assembly	12
GO:0019441	tryptophan catabolic process to kynurenine	2
GO:0051348	negative regulation of transferase activity	174
GO:0033673	negative regulation of kinase activity	149
GO:0006469	negative regulation of protein kinase activity	138
GO:1904030	negative regulation of cyclin-dependent protein kinase activity	25
GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	22
GO:1904714	regulation of chaperone-mediated autophagy	6
GO:0001919	regulation of receptor recycling	14
GO:0001921	positive regulation of receptor recycling	8
GO:1901216	positive regulation of neuron death	26
GO:0043525	positive regulation of neuron apoptotic process	14
GO:0043536	positive regulation of blood vessel endothelial cell migration	66
GO:0010634	positive regulation of epithelial cell migration	140
GO:0010595	positive regulation of endothelial cell migration	111
GO:0045080	NA	6
GO:0032667	regulation of interleukin-23 production	5
GO:0032747	positive regulation of interleukin-23 production	4
GO:0048143	astrocyte activation	5
GO:0014002	astrocyte development	6
GO:0048708	astrocyte differentiation	6
GO:0002281	macrophage activation involved in immune response	4
GO:0060552	positive regulation of fructose 1,6-bisphosphate metabolic process	1
GO:2000307	regulation of tumor necrosis factor (ligand) superfamily member 11 production	1
GO:2000309	positive regulation of tumor necrosis factor (ligand) superfamily member 11 production	1
GO:0032113	regulation of carbohydrate phosphatase activity	1
GO:0060549	regulation of fructose 1,6-bisphosphate 1-phosphatase activity	1
GO:0060550	positive regulation of fructose 1,6-bisphosphate 1-phosphatase activity	1
GO:0060551	regulation of fructose 1,6-bisphosphate metabolic process	1
GO:1902948	negative regulation of tau-protein kinase activity	1
GO:0030225	macrophage differentiation	14
GO:0050730	regulation of peptidyl-tyrosine phosphorylation	157
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	119
GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	67
GO:0032680	regulation of tumor necrosis factor production	65
GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	24
GO:0032760	positive regulation of tumor necrosis factor production	23
GO:0051896	regulation of protein kinase B signaling	177
GO:0051897	positive regulation of protein kinase B signaling	134
GO:1900623	regulation of monocyte aggregation	3
GO:1900625	positive regulation of monocyte aggregation	3
GO:0052372	modulation by symbiont of entry into host	34
GO:0046596	regulation of viral entry into host cell	27
GO:0048524	positive regulation of viral process	101
GO:1903902	positive regulation of viral life cycle	26
GO:0048545	response to steroid hormone	72
GO:0071383	cellular response to steroid hormone stimulus	53
GO:0051384	response to glucocorticoid	17
GO:0071385	cellular response to glucocorticoid stimulus	11
GO:0072524	pyridine-containing compound metabolic process	24
GO:0034356	"NAD biosynthesis via nicotinamide riboside salvage pathway"	14
GO:0072525	pyridine-containing compound biosynthetic process	19
GO:0019362	pyridine nucleotide metabolic process	17
GO:0046496	nicotinamide nucleotide metabolic process	17
GO:0019363	pyridine nucleotide biosynthetic process	16
GO:0009435	"NAD biosynthetic process"	16
GO:0019359	nicotinamide nucleotide biosynthetic process	16
GO:2001020	regulation of response to DNA damage stimulus	175
GO:0006282	regulation of DNA repair	110
GO:0000738	DNA catabolic process, exonucleolytic	3
GO:0051259	protein complex oligomerization	124
GO:0051260	protein homooligomerization	93
GO:0051262	protein tetramerization	59
GO:0051289	protein homotetramerization	43
GO:0090342	regulation of cell aging	40
GO:2000772	regulation of cellular senescence	34
GO:0032814	regulation of natural killer cell activation	16
GO:0032816	positive regulation of natural killer cell activation	11
GO:0010039	response to iron ion	10
GO:0055072	iron ion homeostasis	50
GO:0006879	cellular iron ion homeostasis	45
GO:0055076	transition metal ion homeostasis	67
GO:0046916	cellular transition metal ion homeostasis	58
GO:0097577	sequestering of iron ion	3
GO:0006880	intracellular sequestering of iron ion	2
GO:2001267	regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	12
GO:2001269	positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	7
GO:1903909	regulation of receptor clustering	2
GO:0097284	hepatocyte apoptotic process	1
GO:1903906	regulation of plasma membrane raft polarization	1
GO:0014891	striated muscle atrophy	1
GO:0097017	renal protein absorption	1
GO:0010499	proteasomal ubiquitin-independent protein catabolic process	2
GO:1905643	positive regulation of DNA methylation	3
GO:0044346	fibroblast apoptotic process	1
GO:0018872	arsonoacetate metabolic process	2
GO:0032775	DNA methylation on adenine	2
GO:0002825	regulation of T-helper 1 type immune response	11
GO:0002827	positive regulation of T-helper 1 type immune response	8
GO:2000554	regulation of T-helper 1 cell cytokine production	4
GO:2000556	positive regulation of T-helper 1 cell cytokine production	4
GO:0045838	positive regulation of membrane potential	7
GO:0010918	positive regulation of mitochondrial membrane potential	6
GO:0006910	phagocytosis, recognition	6
GO:0043654	recognition of apoptotic cell	4
GO:0051725	protein de-ADP-ribosylation	4
GO:0030913	paranodal junction assembly	1
GO:0022011	myelination in peripheral nervous system	2
GO:0014044	Schwann cell development	2
GO:0032292	peripheral nervous system axon ensheathment	2
GO:0043163	cell envelope organization	3
GO:0045229	external encapsulating structure organization	3
GO:0045161	neuronal ion channel clustering	4
GO:0045162	clustering of voltage-gated sodium channels	2
GO:0010543	regulation of platelet activation	16
GO:0010544	negative regulation of platelet activation	10
GO:0045026	plasma membrane fusion	7
GO:0007342	fusion of sperm to egg plasma membrane involved in single fertilization	6
GO:0034111	negative regulation of homotypic cell-cell adhesion	5
GO:0090331	negative regulation of platelet aggregation	4
GO:0034110	regulation of homotypic cell-cell adhesion	13
GO:0090330	regulation of platelet aggregation	8
GO:0001880	Mullerian duct regression	1
GO:0060033	anatomical structure regression	1
GO:0036363	transforming growth factor beta activation	1
GO:0071604	transforming growth factor beta production	1
GO:1902460	regulation of mesenchymal stem cell proliferation	5
GO:1902462	positive regulation of mesenchymal stem cell proliferation	3
GO:0001764	neuron migration	14
GO:0002939	tRNA N1-guanine methylation	1
GO:0010882	regulation of cardiac muscle contraction by calcium ion signaling	17
GO:0010880	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	19
GO:0010881	regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion	15
GO:0005513	detection of calcium ion	12
GO:0051208	sequestering of calcium ion	3
GO:2001258	negative regulation of cation channel activity	27
GO:0043271	negative regulation of ion transport	71
GO:0034763	negative regulation of transmembrane transport	63
GO:0034766	negative regulation of ion transmembrane transport	53
GO:0032410	negative regulation of transporter activity	49
GO:1904063	negative regulation of cation transmembrane transport	46
GO:0032413	negative regulation of ion transmembrane transporter activity	42
GO:0051926	negative regulation of calcium ion transport	32
GO:1903170	negative regulation of calcium ion transmembrane transport	19
GO:1901020	negative regulation of calcium ion transmembrane transporter activity	18
GO:0060314	regulation of ryanodine-sensitive calcium-release channel activity	20
GO:0051284	positive regulation of sequestering of calcium ion	12
GO:0010523	negative regulation of calcium ion transport into cytosol	13
GO:0051280	negative regulation of release of sequestered calcium ion into cytosol	10
GO:0060315	negative regulation of ryanodine-sensitive calcium-release channel activity	10
GO:0007096	regulation of exit from mitosis	9
GO:0051445	regulation of meiotic cell cycle	4
GO:0040020	regulation of meiotic nuclear division	3
GO:0045836	positive regulation of meiotic nuclear division	2
GO:0051446	positive regulation of meiotic cell cycle	2
GO:1903845	negative regulation of cellular response to transforming growth factor beta stimulus	2
GO:0032530	regulation of microvillus organization	7
GO:0032534	regulation of microvillus assembly	4
GO:1900115	extracellular regulation of signal transduction	6
GO:1900116	extracellular negative regulation of signal transduction	6
GO:0035583	sequestering of TGFbeta in extracellular matrix	1
GO:0035581	sequestering of extracellular ligand from receptor	4
GO:0071694	maintenance of protein location in extracellular region	2
GO:1903804	glycine import across plasma membrane	2
GO:0045670	regulation of osteoclast differentiation	23
GO:0045671	negative regulation of osteoclast differentiation	11
GO:0045777	positive regulation of blood pressure	3
GO:0031644	regulation of nervous system process	22
GO:0051969	regulation of transmission of nerve impulse	6
GO:0002673	regulation of acute inflammatory response	14
GO:0002675	positive regulation of acute inflammatory response	7
GO:0006954	inflammatory response	126
GO:0002526	acute inflammatory response	17
GO:0006953	acute-phase response	8
GO:0034144	negative regulation of toll-like receptor 4 signaling pathway	8
GO:0032020	ISG15-protein conjugation	5
GO:0032613	interleukin-10 production	4
GO:0043523	regulation of neuron apoptotic process	55
GO:0043524	negative regulation of neuron apoptotic process	36
GO:1901214	regulation of neuron death	99
GO:1901215	negative regulation of neuron death	63
GO:0003014	renal system process	53
GO:0003091	renal water homeostasis	27
GO:0030104	water homeostasis	39
GO:0050891	multicellular organismal water homeostasis	38
GO:0006833	water transport	14
GO:0042044	fluid transport	14
GO:0046689	response to mercury ion	5
GO:0015791	polyol transport	10
GO:0015793	glycerol transport	7
GO:0006884	cell volume homeostasis	10
GO:0015696	ammonium transport	6
GO:0071260	cellular response to mechanical stimulus	6
GO:0046877	regulation of saliva secretion	5
GO:0006970	response to osmotic stress	31
GO:0009651	response to salt stress	5
GO:0071472	cellular response to salt stress	3
GO:0002791	regulation of peptide secretion	181
GO:0050708	regulation of protein secretion	171
GO:0046883	regulation of hormone secretion	122
GO:0090276	regulation of peptide hormone secretion	93
GO:0050796	regulation of insulin secretion	80
GO:0046887	positive regulation of hormone secretion	44
GO:0051047	positive regulation of secretion	143
GO:1903532	positive regulation of secretion by cell	134
GO:0090277	positive regulation of peptide hormone secretion	28
GO:0032024	positive regulation of insulin secretion	18
GO:1904951	positive regulation of establishment of protein localization	194
GO:0051222	positive regulation of protein transport	178
GO:0002793	positive regulation of peptide secretion	84
GO:0050714	positive regulation of protein secretion	78
GO:0010565	regulation of cellular ketone metabolic process	133
GO:0019217	regulation of fatty acid metabolic process	56
GO:0042304	regulation of fatty acid biosynthetic process	29
GO:1904627	response to phorbol 13-acetate 12-myristate	5
GO:1904628	cellular response to phorbol 13-acetate 12-myristate	5
GO:0070588	calcium ion transmembrane transport	89
GO:0006816	calcium ion transport	125
GO:0070838	divalent metal ion transport	140
GO:0072511	divalent inorganic cation transport	140
GO:0031585	regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity	3
GO:0031587	positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity	3
GO:0009415	response to water	2
GO:0051599	response to hydrostatic pressure	2
GO:0071462	cellular response to water stimulus	1
GO:0071464	cellular response to hydrostatic pressure	1
GO:0032890	regulation of organic acid transport	17
GO:2000191	regulation of fatty acid transport	9
GO:1903792	negative regulation of anion transport	15
GO:1903960	negative regulation of anion transmembrane transport	11
GO:0032891	negative regulation of organic acid transport	10
GO:0032570	response to progesterone	18
GO:0090038	negative regulation of protein kinase C signaling	2
GO:0098693	regulation of synaptic vesicle cycle	2
GO:0070316	regulation of G0 to G1 transition	41
GO:0070317	negative regulation of G0 to G1 transition	40
GO:0072526	pyridine-containing compound catabolic process	5
GO:0006742	"NADP catabolic process"	1
GO:0019364	pyridine nucleotide catabolic process	2
GO:0019677	"NAD catabolic process"	2
GO:0042762	regulation of sulfur metabolic process	10
GO:0010510	regulation of acetyl-CoA biosynthetic process from pyruvate	8
GO:0050812	regulation of acyl-CoA biosynthetic process	8
GO:2000209	regulation of anoikis	21
GO:2000811	negative regulation of anoikis	16
GO:0042883	cysteine transport	1
GO:0070778	L-aspartate transmembrane transport	2
GO:0140009	L-aspartate import across plasma membrane	2
GO:0042940	D-amino acid transport	4
GO:0070777	D-aspartate transport	3
GO:0051938	L-glutamate import	3
GO:0070779	D-aspartate import across plasma membrane	3
GO:0098712	L-glutamate import across plasma membrane	3
GO:0045672	positive regulation of osteoclast differentiation	10
GO:0046136	positive regulation of vitamin metabolic process	2
GO:0060557	positive regulation of vitamin D biosynthetic process	2
GO:0051043	regulation of membrane protein ectodomain proteolysis	19
GO:0051044	positive regulation of membrane protein ectodomain proteolysis	14
GO:1903719	regulation of I-kappaB phosphorylation	5
GO:1903721	positive regulation of I-kappaB phosphorylation	4
GO:0051966	regulation of synaptic transmission, glutamatergic	4
GO:1901668	regulation of superoxide dismutase activity	4
GO:1901671	positive regulation of superoxide dismutase activity	3
GO:1900424	regulation of defense response to bacterium	11
GO:1900426	positive regulation of defense response to bacterium	7
GO:0002759	regulation of antimicrobial humoral response	4
GO:0002760	positive regulation of antimicrobial humoral response	4
GO:0002803	positive regulation of antibacterial peptide production	3
GO:0002786	regulation of antibacterial peptide production	3
GO:0002225	positive regulation of antimicrobial peptide production	3
GO:0002784	regulation of antimicrobial peptide production	3
GO:0045745	positive regulation of G protein-coupled receptor signaling pathway	12
GO:0030259	lipid glycosylation	4
GO:0097503	sialylation	5
GO:1990743	protein sialylation	4
GO:0048670	regulation of collateral sprouting	3
GO:0031547	brain-derived neurotrophic factor receptor signaling pathway	2
GO:0048672	positive regulation of collateral sprouting	2
GO:0031550	positive regulation of brain-derived neurotrophic factor receptor signaling pathway	1
GO:0031548	regulation of brain-derived neurotrophic factor receptor signaling pathway	1
GO:0048668	collateral sprouting	1
GO:0010771	negative regulation of cell morphogenesis involved in differentiation	9
GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	9
GO:1905564	positive regulation of vascular endothelial cell proliferation	19
GO:1904849	positive regulation of cell chemotaxis to fibroblast growth factor	4
GO:2000546	positive regulation of endothelial cell chemotaxis to fibroblast growth factor	4
GO:0045927	positive regulation of growth	100
GO:0030307	positive regulation of cell growth	84
GO:0048638	regulation of developmental growth	59
GO:0048639	positive regulation of developmental growth	42
GO:0042982	amyloid precursor protein metabolic process	14
GO:0050435	amyloid-beta metabolic process	12
GO:0042987	amyloid precursor protein catabolic process	10
GO:0034205	amyloid-beta formation	6
GO:0007220	Notch receptor processing	8
GO:0033619	membrane protein proteolysis	34
GO:0006509	membrane protein ectodomain proteolysis	20
GO:0060310	regulation of elastin catabolic process	1
GO:0060311	negative regulation of elastin catabolic process	1
GO:0099173	postsynapse organization	14
GO:0007271	synaptic transmission, cholinergic	8
GO:0042398	cellular modified amino acid biosynthetic process	28
GO:0006750	glutathione biosynthetic process	11
GO:0019184	nonribosomal peptide biosynthetic process	11
GO:0070372	regulation of ERK1 and ERK2 cascade	170
GO:0070374	positive regulation of ERK1 and ERK2 cascade	124
GO:1903580	positive regulation of ATP metabolic process	23
GO:0045821	positive regulation of glycolytic process	16
GO:0045981	positive regulation of nucleotide metabolic process	21
GO:1900544	positive regulation of purine nucleotide metabolic process	21
GO:0062013	positive regulation of small molecule metabolic process	72
GO:0045913	positive regulation of carbohydrate metabolic process	38
GO:0070206	protein trimerization	12
GO:0070207	protein homotrimerization	12
GO:0046655	folic acid metabolic process	18
GO:0042558	pteridine-containing compound metabolic process	24
GO:0006760	folic acid-containing compound metabolic process	21
GO:0043650	dicarboxylic acid biosynthetic process	7
GO:0015942	formate metabolic process	1
GO:2001293	malonyl-CoA metabolic process	1
GO:2001294	malonyl-CoA catabolic process	1
GO:0015812	gamma-aminobutyric acid transport	1
GO:0051939	gamma-aminobutyric acid import	1
GO:0098658	inorganic anion import across plasma membrane	1
GO:0060330	regulation of response to interferon-gamma	20
GO:0060334	regulation of interferon-gamma-mediated signaling pathway	20
GO:0060332	positive regulation of response to interferon-gamma	4
GO:0060335	positive regulation of interferon-gamma-mediated signaling pathway	4
GO:0002521	leukocyte differentiation	76
GO:0002573	myeloid leukocyte differentiation	43
GO:0030099	myeloid cell differentiation	76
GO:0002520	immune system development	161
GO:0048534	hematopoietic or lymphoid organ development	144
GO:0030097	hemopoiesis	140
GO:0045665	negative regulation of neuron differentiation	9
GO:0061097	regulation of protein tyrosine kinase activity	46
GO:0061098	positive regulation of protein tyrosine kinase activity	29
GO:0009141	nucleoside triphosphate metabolic process	51
GO:0009142	nucleoside triphosphate biosynthetic process	34
GO:1902600	proton transmembrane transport	38
GO:0009201	ribonucleoside triphosphate biosynthetic process	26
GO:0009145	purine nucleoside triphosphate biosynthetic process	25
GO:0006754	ATP biosynthetic process	25
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	25
GO:0042776	mitochondrial ATP synthesis coupled proton transport	19
GO:0015985	energy coupled proton transport, down electrochemical gradient	20
GO:0015986	ATP synthesis coupled proton transport	20
GO:1990542	mitochondrial transmembrane transport	56
GO:0009144	purine nucleoside triphosphate metabolic process	39
GO:0009199	ribonucleoside triphosphate metabolic process	37
GO:0009205	purine ribonucleoside triphosphate metabolic process	36
GO:0032094	response to food	1
GO:0002905	regulation of mature B cell apoptotic process	1
GO:0002906	negative regulation of mature B cell apoptotic process	1
GO:0002902	regulation of B cell apoptotic process	7
GO:0002903	negative regulation of B cell apoptotic process	5
GO:0072678	T cell migration	13
GO:0010818	T cell chemotaxis	9
GO:0072676	lymphocyte migration	23
GO:0048247	lymphocyte chemotaxis	16
GO:0032076	negative regulation of deoxyribonuclease activity	2
GO:0032078	negative regulation of endodeoxyribonuclease activity	1
GO:0071677	positive regulation of mononuclear cell migration	20
GO:0090026	positive regulation of monocyte chemotaxis	18
GO:0071675	regulation of mononuclear cell migration	34
GO:0090025	regulation of monocyte chemotaxis	21
GO:0002228	natural killer cell mediated immunity	18
GO:0042267	natural killer cell mediated cytotoxicity	16
GO:0070098	chemokine-mediated signaling pathway	14
GO:1990868	response to chemokine	22
GO:1990869	cellular response to chemokine	22
GO:2000403	positive regulation of lymphocyte migration	23
GO:2000406	positive regulation of T cell migration	19
GO:2000401	regulation of lymphocyte migration	38
GO:2000404	regulation of T cell migration	23
GO:1900279	regulation of CD4-positive, alpha-beta T cell costimulation	1
GO:2000523	regulation of T cell costimulation	1
GO:1900280	negative regulation of CD4-positive, alpha-beta T cell costimulation	1
GO:2000524	negative regulation of T cell costimulation	1
GO:1905674	regulation of adaptive immune memory response	3
GO:1905675	negative regulation of adaptive immune memory response	2
GO:0071691	cardiac muscle thin filament assembly	1
GO:0055003	cardiac myofibril assembly	3
GO:0055007	cardiac muscle cell differentiation	9
GO:0055006	cardiac cell development	6
GO:0055013	cardiac muscle cell development	5
GO:0042369	vitamin D catabolic process	2
GO:0009111	vitamin catabolic process	9
GO:0042363	fat-soluble vitamin catabolic process	8
GO:0097185	cellular response to azide	1
GO:0035874	cellular response to copper ion starvation	1
GO:0097184	response to azide	1
GO:0120126	response to copper ion starvation	1
GO:0046688	response to copper ion	11
GO:0071280	cellular response to copper ion	7
GO:0034776	response to histamine	6
GO:0071420	cellular response to histamine	3
GO:0048539	bone marrow development	4
GO:0061304	retinal blood vessel morphogenesis	2
GO:0061298	retina vasculature development in camera-type eye	3
GO:0061299	retina vasculature morphogenesis in camera-type eye	3
GO:0060612	adipose tissue development	4
GO:0002053	positive regulation of mesenchymal cell proliferation	2
GO:0060753	regulation of mast cell chemotaxis	2
GO:0060754	positive regulation of mast cell chemotaxis	2
GO:0140353	lipid export from cell	4
GO:0015732	prostaglandin transport	4
GO:0032310	prostaglandin secretion	3
GO:1990167	protein K27-linked deubiquitination	3
GO:0021544	subpallium development	2
GO:0021756	striatum development	2
GO:0020027	hemoglobin metabolic process	2
GO:0042541	hemoglobin biosynthetic process	2
GO:0001553	luteinization	1
GO:0035929	steroid hormone secretion	1
GO:0042701	progesterone secretion	1
GO:0021773	striatal medium spiny neuron differentiation	1
GO:0097154	GABAergic neuron differentiation	1
GO:0060986	endocrine hormone secretion	3
GO:0001541	ovarian follicle development	6
GO:0008585	female gonad development	8
GO:0046545	development of primary female sexual characteristics	8
GO:2001241	positive regulation of extrinsic apoptotic signaling pathway in absence of ligand	5
GO:0022602	ovulation cycle process	4
GO:0042698	ovulation cycle	4
GO:0042445	hormone metabolic process	118
GO:0034754	cellular hormone metabolic process	80
GO:0034308	primary alcohol metabolic process	53
GO:0008207	C21-steroid hormone metabolic process	22
GO:2000367	regulation of acrosomal vesicle exocytosis	2
GO:0031630	regulation of synaptic vesicle fusion to presynaptic active zone membrane	1
GO:0016264	gap junction assembly	7
GO:0010496	intercellular transport	5
GO:1990349	gap junction-mediated intercellular transport	5
GO:0006528	asparagine metabolic process	4
GO:0006529	asparagine biosynthetic process	1
GO:0006269	DNA replication, synthesis of RNA primer	2
GO:1903775	regulation of DNA double-strand break processing	1
GO:1904847	regulation of cell chemotaxis to fibroblast growth factor	11
GO:2000544	regulation of endothelial cell chemotaxis to fibroblast growth factor	10
GO:0000018	regulation of DNA recombination	58
GO:0010569	regulation of double-strand break repair via homologous recombination	40
GO:0045738	negative regulation of DNA repair	30
GO:2000780	negative regulation of double-strand break repair	29
GO:0045910	negative regulation of DNA recombination	22
GO:2000042	negative regulation of double-strand break repair via homologous recombination	16
GO:0051150	regulation of smooth muscle cell differentiation	24
GO:0051151	negative regulation of smooth muscle cell differentiation	14
GO:0043616	keratinocyte proliferation	6
GO:0042108	positive regulation of cytokine biosynthetic process	1
GO:1903901	negative regulation of viral life cycle	18
GO:0046597	negative regulation of viral entry into host cell	15
