go_id	go_name
GO:0007043	cell-cell junction assembly
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway
GO:0010522	regulation of calcium ion transport into cytosol
GO:0033238	regulation of cellular amine metabolic process
GO:0034614	cellular response to reactive oxygen species
GO:0034644	cellular response to UV
GO:0046794	transport of virus
GO:0046916	cellular transition metal ion homeostasis
GO:0071805	potassium ion transmembrane transport
GO:0090288	negative regulation of cellular response to growth factor stimulus
GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
GO:0006672	ceramide metabolic process
GO:0007568	aging
GO:0008593	regulation of Notch signaling pathway
GO:0009116	nucleoside metabolic process
GO:0010675	regulation of cellular carbohydrate metabolic process
GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling
GO:0031397	negative regulation of protein ubiquitination
GO:0042102	positive regulation of T cell proliferation
GO:0042509	regulation of tyrosine phosphorylation of STAT protein
GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0097305	response to alcohol
GO:1902017	regulation of cilium assembly
GO:1902107	positive regulation of leukocyte differentiation
GO:1903363	negative regulation of cellular protein catabolic process
GO:1903708	positive regulation of hemopoiesis
GO:0000281	mitotic cytokinesis
GO:0002705	positive regulation of leukocyte mediated immunity
GO:0003015	heart process
GO:0006026	aminoglycan catabolic process
GO:0006638	neutral lipid metabolic process
GO:0006639	acylglycerol metabolic process
GO:0010507	negative regulation of autophagy
GO:0015748	organophosphate ester transport
GO:0019217	regulation of fatty acid metabolic process
GO:0031058	positive regulation of histone modification
GO:0034440	lipid oxidation
GO:0034502	protein localization to chromosome
GO:0043648	dicarboxylic acid metabolic process
GO:0046165	alcohol biosynthetic process
GO:0048024	regulation of mRNA splicing, via spliceosome
GO:0051250	negative regulation of lymphocyte activation
GO:0051865	protein autoubiquitination
GO:0060193	positive regulation of lipase activity
GO:0062014	negative regulation of small molecule metabolic process
GO:0097191	extrinsic apoptotic signaling pathway
GO:1904356	regulation of telomere maintenance via telomere lengthening
GO:1990542	mitochondrial transmembrane transport
GO:0001894	tissue homeostasis
GO:0006521	regulation of cellular amino acid metabolic process
GO:0007254	JNK cascade
GO:0010803	regulation of tumor necrosis factor-mediated signaling pathway
GO:0019395	fatty acid oxidation
GO:0032411	positive regulation of transporter activity
GO:0043244	regulation of protein-containing complex disassembly
GO:0043523	regulation of neuron apoptotic process
GO:0045667	regulation of osteoblast differentiation
GO:0051225	spindle assembly
GO:0051651	maintenance of location in cell
GO:0070585	protein localization to mitochondrion
GO:0072413	signal transduction involved in mitotic cell cycle checkpoint
GO:0072431	signal transduction involved in mitotic G1 DNA damage checkpoint
GO:1902400	intracellular signal transduction involved in G1 DNA damage checkpoint
GO:1902402	signal transduction involved in mitotic DNA damage checkpoint
GO:1902403	signal transduction involved in mitotic DNA integrity checkpoint
GO:1903035	negative regulation of response to wounding
GO:2000379	positive regulation of reactive oxygen species metabolic process
GO:0001960	negative regulation of cytokine-mediated signaling pathway
GO:0002761	regulation of myeloid leukocyte differentiation
GO:0006027	glycosaminoglycan catabolic process
GO:0006885	regulation of pH
GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest
GO:0010631	epithelial cell migration
GO:0030641	regulation of cellular pH
GO:0032757	positive regulation of interleukin-8 production
GO:0036498	IRE1-mediated unfolded protein response
GO:0043154	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:0050804	modulation of chemical synaptic transmission
GO:0072527	pyrimidine-containing compound metabolic process
GO:0090130	tissue migration
GO:0090132	epithelium migration
GO:0099177	regulation of trans-synaptic signaling
GO:1901992	positive regulation of mitotic cell cycle phase transition
GO:1903312	negative regulation of mRNA metabolic process
GO:2000573	positive regulation of DNA biosynthetic process
GO:2001251	negative regulation of chromosome organization
GO:0003014	renal system process
GO:0006336	DNA replication-independent nucleosome assembly
GO:0006814	sodium ion transport
GO:0006942	regulation of striated muscle contraction
GO:0007389	pattern specification process
GO:0008652	cellular amino acid biosynthetic process
GO:0009566	fertilization
GO:0030512	negative regulation of transforming growth factor beta receptor signaling pathway
GO:0032371	regulation of sterol transport
GO:0033143	regulation of intracellular steroid hormone receptor signaling pathway
GO:0034308	primary alcohol metabolic process
GO:0034724	DNA replication-independent nucleosome organization
GO:0034766	negative regulation of ion transmembrane transport
GO:0043044	ATP-dependent chromatin remodeling
GO:0045185	maintenance of protein location
GO:0051983	regulation of chromosome segregation
GO:0061045	negative regulation of wound healing
GO:0071383	cellular response to steroid hormone stimulus
GO:0071772	response to BMP
GO:0071773	cellular response to BMP stimulus
GO:1903779	regulation of cardiac conduction
GO:2000351	regulation of endothelial cell apoptotic process
GO:0006029	proteoglycan metabolic process
GO:0006090	pyruvate metabolic process
GO:0006487	protein N-linked glycosylation
GO:0006836	neurotransmitter transport
GO:0007032	endosome organization
GO:0007229	integrin-mediated signaling pathway
GO:0007338	single fertilization
GO:0009755	hormone-mediated signaling pathway
GO:0016925	protein sumoylation
GO:0017038	protein import
GO:0031110	regulation of microtubule polymerization or depolymerization
GO:0031345	negative regulation of cell projection organization
GO:0032092	positive regulation of protein binding
GO:0032374	regulation of cholesterol transport
GO:0032755	positive regulation of interleukin-6 production
GO:0045619	regulation of lymphocyte differentiation
GO:0050000	chromosome localization
GO:0051303	establishment of chromosome localization
GO:0051453	regulation of intracellular pH
GO:0060401	cytosolic calcium ion transport
GO:0075733	intracellular transport of virus
GO:0120034	positive regulation of plasma membrane bounded cell projection assembly
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
GO:0006304	DNA modification
GO:0007606	sensory perception of chemical stimulus
GO:0009141	nucleoside triphosphate metabolic process
GO:0010517	regulation of phospholipase activity
GO:0014910	regulation of smooth muscle cell migration
GO:0030010	establishment of cell polarity
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0034121	regulation of toll-like receptor signaling pathway
GO:0034401	chromatin organization involved in regulation of transcription
GO:0046330	positive regulation of JNK cascade
GO:0051279	regulation of release of sequestered calcium ion into cytosol
GO:0051310	metaphase plate congression
GO:0051851	modulation by host of symbiont process
GO:0060047	heart contraction
GO:0001578	microtubule bundle formation
GO:0001655	urogenital system development
GO:0008217	regulation of blood pressure
GO:0018210	peptidyl-threonine modification
GO:0030509	BMP signaling pathway
GO:0032210	regulation of telomere maintenance via telomerase
GO:0032414	positive regulation of ion transmembrane transporter activity
GO:0036297	interstrand cross-link repair
GO:0043506	regulation of JUN kinase activity
GO:0044706	multi-multicellular organism process
GO:0045807	positive regulation of endocytosis
GO:0055072	iron ion homeostasis
GO:0061458	reproductive system development
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide
GO:0072655	establishment of protein localization to mitochondrion
GO:1905954	positive regulation of lipid localization
GO:0002708	positive regulation of lymphocyte mediated immunity
GO:0006513	protein monoubiquitination
GO:0006687	glycosphingolipid metabolic process
GO:0008286	insulin receptor signaling pathway
GO:0008361	regulation of cell size
GO:0009266	response to temperature stimulus
GO:0016239	positive regulation of macroautophagy
GO:0018022	peptidyl-lysine methylation
GO:0030433	ubiquitin-dependent ERAD pathway
GO:0032410	negative regulation of transporter activity
GO:0045071	negative regulation of viral genome replication
GO:0048284	organelle fusion
GO:0048608	reproductive structure development
GO:0050818	regulation of coagulation
GO:0050906	detection of stimulus involved in sensory perception
GO:0060070	canonical Wnt signaling pathway
GO:0060537	muscle tissue development
GO:0070671	response to interleukin-12
GO:0071349	cellular response to interleukin-12
GO:0072001	renal system development
GO:0090181	regulation of cholesterol metabolic process
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules
GO:1902117	positive regulation of organelle assembly
GO:1903313	positive regulation of mRNA metabolic process
GO:1904892	regulation of receptor signaling pathway via STAT
GO:0001508	action potential
GO:0001510	RNA methylation
GO:0006400	tRNA modification
GO:0007586	digestion
GO:0008037	cell recognition
GO:0009060	aerobic respiration
GO:0009308	amine metabolic process
GO:0009636	response to toxic substance
GO:0014074	response to purine-containing compound
GO:0016571	histone methylation
GO:0032768	regulation of monooxygenase activity
GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein
GO:0043266	regulation of potassium ion transport
GO:0043647	inositol phosphate metabolic process
GO:0045638	negative regulation of myeloid cell differentiation
GO:0050688	regulation of defense response to virus
GO:0051149	positive regulation of muscle cell differentiation
GO:0097549	chromatin organization involved in negative regulation of transcription
GO:1901654	response to ketone
GO:0000731	DNA synthesis involved in DNA repair
GO:0006446	regulation of translational initiation
GO:0006826	iron ion transport
GO:0009247	glycolipid biosynthetic process
GO:0030838	positive regulation of actin filament polymerization
GO:0033866	nucleoside bisphosphate biosynthetic process
GO:0034030	ribonucleoside bisphosphate biosynthetic process
GO:0034033	purine nucleoside bisphosphate biosynthetic process
GO:0035722	interleukin-12-mediated signaling pathway
GO:0042632	cholesterol homeostasis
GO:0043486	histone exchange
GO:0048661	positive regulation of smooth muscle cell proliferation
GO:0048880	sensory system development
GO:0051258	protein polymerization
GO:0055092	sterol homeostasis
GO:0060048	cardiac muscle contraction
GO:1901983	regulation of protein acetylation
GO:1903051	negative regulation of proteolysis involved in cellular protein catabolic process
GO:0003158	endothelium development
GO:0006968	cellular defense response
GO:0010518	positive regulation of phospholipase activity
GO:0014706	striated muscle tissue development
GO:0030193	regulation of blood coagulation
GO:0034508	centromere complex assembly
GO:0042692	muscle cell differentiation
GO:0045921	positive regulation of exocytosis
GO:0046473	phosphatidic acid metabolic process
GO:0061097	regulation of protein tyrosine kinase activity
GO:0070936	protein K48-linked ubiquitination
GO:1900046	regulation of hemostasis
GO:1903426	regulation of reactive oxygen species biosynthetic process
GO:1904063	negative regulation of cation transmembrane transport
GO:2000241	regulation of reproductive process
GO:0001654	eye development
GO:0006301	postreplication repair
GO:0006879	cellular iron ion homeostasis
GO:0007249	I-kappaB kinase/NF-kappaB signaling
GO:0007548	sex differentiation
GO:0010721	negative regulation of cell development
GO:0031294	lymphocyte costimulation
GO:0032392	DNA geometric change
GO:0043462	regulation of ATPase activity
GO:0048662	negative regulation of smooth muscle cell proliferation
GO:0051170	import into nucleus
GO:0051893	regulation of focal adhesion assembly
GO:0060485	mesenchyme development
GO:0070828	heterochromatin organization
GO:0071479	cellular response to ionizing radiation
GO:0090109	regulation of cell-substrate junction assembly
GO:0150063	visual system development
GO:0150116	regulation of cell-substrate junction organization
GO:1900182	positive regulation of protein localization to nucleus
GO:1903670	regulation of sprouting angiogenesis
GO:0001822	kidney development
GO:0001910	regulation of leukocyte mediated cytotoxicity
GO:0002792	negative regulation of peptide secretion
GO:0006654	phosphatidic acid biosynthetic process
GO:0007080	mitotic metaphase plate congression
GO:0007193	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
GO:0007219	Notch signaling pathway
GO:0009132	nucleoside diphosphate metabolic process
GO:0010812	negative regulation of cell-substrate adhesion
GO:0031295	T cell costimulation
GO:0031640	killing of cells of other organism
GO:0033013	tetrapyrrole metabolic process
GO:0033500	carbohydrate homeostasis
GO:0046887	positive regulation of hormone secretion
GO:0050868	negative regulation of T cell activation
GO:0051962	positive regulation of nervous system development
GO:0051972	regulation of telomerase activity
GO:0070167	regulation of biomineral tissue development
GO:0098727	maintenance of cell number
GO:0098840	protein transport along microtubule
GO:0099118	microtubule-based protein transport
GO:0110149	regulation of biomineralization
GO:1901224	positive regulation of NIK/NF-kappaB signaling
GO:1901292	nucleoside phosphate catabolic process
GO:1901379	regulation of potassium ion transmembrane transport
GO:1903587	regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
GO:1905953	negative regulation of lipid localization
GO:0002064	epithelial cell development
GO:0002573	myeloid leukocyte differentiation
GO:0002702	positive regulation of production of molecular mediator of immune response
GO:0006120	mitochondrial electron transport, NADH to ubiquinone
GO:0007565	female pregnancy
GO:0007611	learning or memory
GO:0009792	embryo development ending in birth or egg hatching
GO:0019827	stem cell population maintenance
GO:0031055	chromatin remodeling at centromere
GO:0034332	adherens junction organization
GO:0042593	glucose homeostasis
GO:0043542	endothelial cell migration
GO:0045580	regulation of T cell differentiation
GO:0046365	monosaccharide catabolic process
GO:0046683	response to organophosphorus
GO:0046889	positive regulation of lipid biosynthetic process
GO:0050764	regulation of phagocytosis
GO:0050864	regulation of B cell activation
GO:0051289	protein homotetramerization
GO:0055117	regulation of cardiac muscle contraction
GO:0070988	demethylation
GO:1901019	regulation of calcium ion transmembrane transporter activity
GO:1901185	negative regulation of ERBB signaling pathway
GO:1902041	regulation of extrinsic apoptotic signaling pathway via death domain receptors
GO:1902369	negative regulation of RNA catabolic process
GO:1905562	regulation of vascular endothelial cell proliferation
GO:2001244	positive regulation of intrinsic apoptotic signaling pathway
GO:0002718	regulation of cytokine production involved in immune response
GO:0002821	positive regulation of adaptive immune response
GO:0006576	cellular biogenic amine metabolic process
GO:0006635	fatty acid beta-oxidation
GO:0007007	inner mitochondrial membrane organization
GO:0015918	sterol transport
GO:0018107	peptidyl-threonine phosphorylation
GO:0030278	regulation of ossification
GO:0032413	negative regulation of ion transmembrane transporter activity
GO:0034080	CENP-A containing nucleosome assembly
GO:0042073	intraciliary transport
GO:0043407	negative regulation of MAP kinase activity
GO:0044070	regulation of anion transport
GO:0044106	cellular amine metabolic process
GO:0045540	regulation of cholesterol biosynthetic process
GO:0048639	positive regulation of developmental growth
GO:0048732	gland development
GO:0050709	negative regulation of protein secretion
GO:0051438	regulation of ubiquitin-protein transferase activity
GO:0051881	regulation of mitochondrial membrane potential
GO:0061641	CENP-A containing chromatin organization
GO:0098876	vesicle-mediated transport to the plasma membrane
GO:0106118	regulation of sterol biosynthetic process
GO:1902882	regulation of response to oxidative stress
GO:1904377	positive regulation of protein localization to cell periphery
GO:0006821	chloride transport
GO:0006835	dicarboxylic acid transport
GO:0007159	leukocyte cell-cell adhesion
GO:0007173	epidermal growth factor receptor signaling pathway
GO:0010906	regulation of glucose metabolic process
GO:0019674	NAD metabolic process
GO:0019731	antibacterial humoral response
GO:0019985	translesion synthesis
GO:0030301	cholesterol transport
GO:0032206	positive regulation of telomere maintenance
GO:0032480	negative regulation of type I interferon production
GO:0035306	positive regulation of dephosphorylation
GO:0043038	amino acid activation
GO:0043039	tRNA aminoacylation
GO:0043507	positive regulation of JUN kinase activity
GO:0046503	glycerolipid catabolic process
GO:0048568	embryonic organ development
GO:0050434	positive regulation of viral transcription
GO:0050909	sensory perception of taste
GO:0051898	negative regulation of protein kinase B signaling
GO:0060348	bone development
GO:0060760	positive regulation of response to cytokine stimulus
GO:0070316	regulation of G0 to G1 transition
GO:1902808	positive regulation of cell cycle G1/S phase transition
GO:0008333	endosome to lysosome transport
GO:0008637	apoptotic mitochondrial changes
GO:0009066	aspartate family amino acid metabolic process
GO:0009166	nucleotide catabolic process
GO:0009408	response to heat
GO:0010569	regulation of double-strand break repair via homologous recombination
GO:0015908	fatty acid transport
GO:0031507	heterochromatin assembly
GO:0035725	sodium ion transmembrane transport
GO:0035735	intraciliary transport involved in cilium assembly
GO:0042180	cellular ketone metabolic process
GO:0043255	regulation of carbohydrate biosynthetic process
GO:0043967	histone H4 acetylation
GO:0044273	sulfur compound catabolic process
GO:0046364	monosaccharide biosynthetic process
GO:0046425	regulation of receptor signaling pathway via JAK-STAT
GO:0046939	nucleotide phosphorylation
GO:0048762	mesenchymal cell differentiation
GO:0050854	regulation of antigen receptor-mediated signaling pathway
GO:0052126	movement in host environment
GO:0060562	epithelial tube morphogenesis
GO:0070317	negative regulation of G0 to G1 transition
GO:0071825	protein-lipid complex subunit organization
GO:0090303	positive regulation of wound healing
GO:0090342	regulation of cell aging
GO:1903036	positive regulation of response to wounding
GO:1903707	negative regulation of hemopoiesis
GO:1903747	regulation of establishment of protein localization to mitochondrion
GO:0003341	cilium movement
GO:0005976	polysaccharide metabolic process
GO:0006081	cellular aldehyde metabolic process
GO:0006165	nucleoside diphosphate phosphorylation
GO:0009144	purine nucleoside triphosphate metabolic process
GO:0009582	detection of abiotic stimulus
GO:0010769	regulation of cell morphogenesis involved in differentiation
GO:0015914	phospholipid transport
GO:0030104	water homeostasis
GO:0031532	actin cytoskeleton reorganization
GO:0032387	negative regulation of intracellular transport
GO:0032508	DNA duplex unwinding
GO:0032642	regulation of chemokine production
GO:0032653	regulation of interleukin-10 production
GO:0033045	regulation of sister chromatid segregation
GO:0033683	nucleotide-excision repair, DNA incision
GO:0042059	negative regulation of epidermal growth factor receptor signaling pathway
GO:0042440	pigment metabolic process
GO:0043009	chordate embryonic development
GO:0043666	regulation of phosphoprotein phosphatase activity
GO:0045824	negative regulation of innate immune response
GO:0048017	inositol lipid-mediated signaling
GO:0051781	positive regulation of cell division
GO:0060393	regulation of pathway-restricted SMAD protein phosphorylation
GO:0090051	negative regulation of cell migration involved in sprouting angiogenesis
GO:1904427	positive regulation of calcium ion transmembrane transport
GO:0002753	cytoplasmic pattern recognition receptor signaling pathway
GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
GO:0006418	tRNA aminoacylation for protein translation
GO:0006626	protein targeting to mitochondrion
GO:0007040	lysosome organization
GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway
GO:0019068	virion assembly
GO:0019369	arachidonic acid metabolic process
GO:0030166	proteoglycan biosynthetic process
GO:0031032	actomyosin structure organization
GO:0032370	positive regulation of lipid transport
GO:0032715	negative regulation of interleukin-6 production
GO:0032732	positive regulation of interleukin-1 production
GO:0034656	nucleobase-containing small molecule catabolic process
GO:0035023	regulation of Rho protein signal transduction
GO:0035337	fatty-acyl-CoA metabolic process
GO:0043401	steroid hormone mediated signaling pathway
GO:0045806	negative regulation of endocytosis
GO:0045913	positive regulation of carbohydrate metabolic process
GO:0046824	positive regulation of nucleocytoplasmic transport
GO:0048015	phosphatidylinositol-mediated signaling
GO:0050769	positive regulation of neurogenesis
GO:0050891	multicellular organismal water homeostasis
GO:0060402	calcium ion transport into cytosol
GO:0071827	plasma lipoprotein particle organization
GO:0080171	lytic vacuole organization
GO:0097530	granulocyte migration
GO:1901028	regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
GO:1902600	proton transmembrane transport
GO:1902893	regulation of pri-miRNA transcription by RNA polymerase II
GO:1903305	regulation of regulated secretory pathway
GO:1903556	negative regulation of tumor necrosis factor superfamily cytokine production
GO:2000401	regulation of lymphocyte migration
GO:0006296	nucleotide-excision repair, DNA incision, 5'-to lesion
GO:0006998	nuclear envelope organization
GO:0007269	neurotransmitter secretion
GO:0007569	cell aging
GO:0009199	ribonucleoside triphosphate metabolic process
GO:0010976	positive regulation of neuron projection development
GO:0019319	hexose biosynthetic process
GO:0019320	hexose catabolic process
GO:0030510	regulation of BMP signaling pathway
GO:0031060	regulation of histone methylation
GO:0031113	regulation of microtubule polymerization
GO:0032233	positive regulation of actin filament bundle assembly
GO:0032507	maintenance of protein location in cell
GO:0032720	negative regulation of tumor necrosis factor production
GO:0032729	positive regulation of interferon-gamma production
GO:0035384	thioester biosynthetic process
GO:0042542	response to hydrogen peroxide
GO:0043388	positive regulation of DNA binding
GO:0043966	histone H3 acetylation
GO:0044264	cellular polysaccharide metabolic process
GO:0045446	endothelial cell differentiation
GO:0045851	pH reduction
GO:0048145	regulation of fibroblast proliferation
GO:0050803	regulation of synapse structure or activity
GO:0050807	regulation of synapse organization
GO:0050819	negative regulation of coagulation
GO:0050848	regulation of calcium-mediated signaling
GO:0051055	negative regulation of lipid biosynthetic process
GO:0051452	intracellular pH reduction
GO:0071616	acyl-CoA biosynthetic process
GO:0086001	cardiac muscle cell action potential
GO:0099643	signal release from synapse
GO:1901264	carbohydrate derivative transport
GO:1902106	negative regulation of leukocyte differentiation
GO:1902373	negative regulation of mRNA catabolic process
GO:1903008	organelle disassembly
GO:1903078	positive regulation of protein localization to plasma membrane
GO:1905818	regulation of chromosome separation
GO:1990928	response to amino acid starvation
GO:0001954	positive regulation of cell-matrix adhesion
GO:0002028	regulation of sodium ion transport
GO:0002709	regulation of T cell mediated immunity
GO:0007009	plasma membrane organization
GO:0007029	endoplasmic reticulum organization
GO:0007416	synapse assembly
GO:0009185	ribonucleoside diphosphate metabolic process
GO:0009205	purine ribonucleoside triphosphate metabolic process
GO:0018958	phenol-containing compound metabolic process
GO:0021700	developmental maturation
GO:0030049	muscle filament sliding
GO:0033275	actin-myosin filament sliding
GO:0034198	cellular response to amino acid starvation
GO:0043124	negative regulation of I-kappaB kinase/NF-kappaB signaling
GO:0043524	negative regulation of neuron apoptotic process
GO:0043550	regulation of lipid kinase activity
GO:0045815	positive regulation of gene expression, epigenetic
GO:0046605	regulation of centrosome cycle
GO:0048260	positive regulation of receptor-mediated endocytosis
GO:0048511	rhythmic process
GO:0050907	detection of chemical stimulus involved in sensory perception
GO:0090174	organelle membrane fusion
GO:0090224	regulation of spindle organization
GO:0097306	cellular response to alcohol
GO:1900024	regulation of substrate adhesion-dependent cell spreading
GO:1900274	regulation of phospholipase C activity
GO:1900407	regulation of cellular response to oxidative stress
GO:1903317	regulation of protein maturation
GO:1904645	response to amyloid-beta
GO:1905268	negative regulation of chromatin organization
GO:2000106	regulation of leukocyte apoptotic process
GO:2000756	regulation of peptidyl-lysine acetylation
GO:0000245	spliceosomal complex assembly
GO:0001837	epithelial to mesenchymal transition
GO:0002715	regulation of natural killer cell mediated immunity
GO:0002790	peptide secretion
GO:0003333	amino acid transmembrane transport
GO:0006641	triglyceride metabolic process
GO:0007223	Wnt signaling pathway, calcium modulating pathway
GO:0009135	purine nucleoside diphosphate metabolic process
GO:0009581	detection of external stimulus
GO:0010524	positive regulation of calcium ion transport into cytosol
GO:0010718	positive regulation of epithelial to mesenchymal transition
GO:0030098	lymphocyte differentiation
GO:0030900	forebrain development
GO:0032467	positive regulation of cytokinesis
GO:0032692	negative regulation of interleukin-1 production
GO:0032963	collagen metabolic process
GO:0033572	transferrin transport
GO:0034381	plasma lipoprotein particle clearance
GO:0044409	entry into host
GO:0045598	regulation of fat cell differentiation
GO:0048705	skeletal system morphogenesis
GO:0048736	appendage development
GO:0050912	detection of chemical stimulus involved in sensory perception of taste
GO:0051353	positive regulation of oxidoreductase activity
GO:0060173	limb development
GO:0070373	negative regulation of ERK1 and ERK2 cascade
GO:0086065	cell communication involved in cardiac conduction
GO:0090199	regulation of release of cytochrome c from mitochondria
GO:0097064	ncRNA export from nucleus
GO:1902305	regulation of sodium ion transmembrane transport
GO:1904036	negative regulation of epithelial cell apoptotic process
GO:2000059	negative regulation of ubiquitin-dependent protein catabolic process
GO:2000781	positive regulation of double-strand break repair
GO:0000183	rDNA heterochromatin assembly
GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic
GO:0001961	positive regulation of cytokine-mediated signaling pathway
GO:0002090	regulation of receptor internalization
GO:0006094	gluconeogenesis
GO:0009142	nucleoside triphosphate biosynthetic process
GO:0009179	purine ribonucleoside diphosphate metabolic process
GO:0010799	regulation of peptidyl-threonine phosphorylation
GO:0010827	regulation of glucose transmembrane transport
GO:0010863	positive regulation of phospholipase C activity
GO:0010965	regulation of mitotic sister chromatid separation
GO:0015701	bicarbonate transport
GO:0030195	negative regulation of blood coagulation
GO:0030500	regulation of bone mineralization
GO:0030518	intracellular steroid hormone receptor signaling pathway
GO:0030858	positive regulation of epithelial cell differentiation
GO:0031343	positive regulation of cell killing
GO:0031638	zymogen activation
GO:0032655	regulation of interleukin-12 production
GO:0032717	negative regulation of interleukin-8 production
GO:0032731	positive regulation of interleukin-1 beta production
GO:0033619	membrane protein proteolysis
GO:0034968	histone lysine methylation
GO:0035065	regulation of histone acetylation
GO:0035082	axoneme assembly
GO:0035307	positive regulation of protein dephosphorylation
GO:0035924	cellular response to vascular endothelial growth factor stimulus
GO:0040007	growth
GO:0042269	regulation of natural killer cell mediated cytotoxicity
GO:0042446	hormone biosynthetic process
GO:0043489	RNA stabilization
GO:0045669	positive regulation of osteoblast differentiation
GO:0048589	developmental growth
GO:0048863	stem cell differentiation
GO:0050999	regulation of nitric-oxide synthase activity
GO:0051031	tRNA transport
GO:0051057	positive regulation of small GTPase mediated signal transduction
GO:0051146	striated muscle cell differentiation
GO:0052372	modulation by symbiont of entry into host
GO:0070613	regulation of protein processing
GO:0071675	regulation of mononuclear cell migration
GO:0090382	phagosome maturation
GO:0099601	regulation of neurotransmitter receptor activity
GO:1900047	negative regulation of hemostasis
GO:1900744	regulation of p38MAPK cascade
GO:1901016	regulation of potassium ion transmembrane transporter activity
GO:1901616	organic hydroxy compound catabolic process
GO:1901799	negative regulation of proteasomal protein catabolic process
GO:1902743	regulation of lamellipodium organization
GO:1903201	regulation of oxidative stress-induced cell death
GO:2000677	regulation of transcription regulatory region DNA binding
GO:2000772	regulation of cellular senescence
GO:0000381	regulation of alternative mRNA splicing, via spliceosome
GO:0000387	spliceosomal snRNP assembly
GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste
GO:0006360	transcription by RNA polymerase I
GO:0006409	tRNA export from nucleus
GO:0008643	carbohydrate transport
GO:0010824	regulation of centrosome duplication
GO:0010874	regulation of cholesterol efflux
GO:0016126	sterol biosynthetic process
GO:0016574	histone ubiquitination
GO:0022412	cellular process involved in reproduction in multicellular organism
GO:0031623	receptor internalization
GO:0031648	protein destabilization
GO:0032007	negative regulation of TOR signaling
GO:0032008	positive regulation of TOR signaling
GO:0032369	negative regulation of lipid transport
GO:0032648	regulation of interferon-beta production
GO:0032663	regulation of interleukin-2 production
GO:0032873	negative regulation of stress-activated MAPK cascade
GO:0035019	somatic stem cell population maintenance
GO:0035601	protein deacylation
GO:0036260	RNA capping
GO:0042339	keratan sulfate metabolic process
GO:0043094	cellular metabolic compound salvage
GO:0043297	apical junction assembly
GO:0043928	exonucleolytic catabolism of deadenylated mRNA
GO:0044088	regulation of vacuole organization
GO:0045165	cell fate commitment
GO:0045604	regulation of epidermal cell differentiation
GO:0045682	regulation of epidermis development
GO:0046456	icosanoid biosynthetic process
GO:0046579	positive regulation of Ras protein signal transduction
GO:0046634	regulation of alpha-beta T cell activation
GO:0050732	negative regulation of peptidyl-tyrosine phosphorylation
GO:0050913	sensory perception of bitter taste
GO:0051496	positive regulation of stress fiber assembly
GO:0060236	regulation of mitotic spindle organization
GO:0061014	positive regulation of mRNA catabolic process
GO:0070303	negative regulation of stress-activated protein kinase signaling cascade
GO:0071431	tRNA-containing ribonucleoprotein complex export from nucleus
GO:0090307	mitotic spindle assembly
GO:0097194	execution phase of apoptosis
GO:0098732	macromolecule deacylation
GO:1900015	regulation of cytokine production involved in inflammatory response
GO:1902991	regulation of amyloid precursor protein catabolic process
GO:1904358	positive regulation of telomere maintenance via telomere lengthening
GO:1904752	regulation of vascular associated smooth muscle cell migration
GO:2000279	negative regulation of DNA biosynthetic process
GO:0001101	response to acid chemical
GO:0001503	ossification
GO:0003205	cardiac chamber development
GO:0006335	DNA replication-dependent nucleosome assembly
GO:0006361	transcription initiation from RNA polymerase I promoter
GO:0006370	7-methylguanosine mRNA capping
GO:0006636	unsaturated fatty acid biosynthetic process
GO:0006656	phosphatidylcholine biosynthetic process
GO:0006695	cholesterol biosynthetic process
GO:0006984	ER-nucleus signaling pathway
GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage
GO:0009452	7-methylguanosine RNA capping
GO:0009988	cell-cell recognition
GO:0010977	negative regulation of neuron projection development
GO:0015909	long-chain fatty acid transport
GO:0030071	regulation of mitotic metaphase/anaphase transition
GO:0031050	dsRNA processing
GO:0032205	negative regulation of telomere maintenance
GO:0034723	DNA replication-dependent nucleosome organization
GO:0035150	regulation of tube size
GO:0035296	regulation of tube diameter
GO:0042769	DNA damage response, detection of DNA damage
GO:0043473	pigmentation
GO:0044003	modulation by symbiont of host process
GO:0045070	positive regulation of viral genome replication
