tissueType	cellName	symbol	gene
Liver	Endothelial cell	MPZL3	196264
Liver	Endothelial cell	MRC1	4360
Liver	Endothelial cell	OIT3	170392
Liver	Endothelial cell	PIK3C2A	5286
Liver	Endothelial cell	PPWD1	23398
Liver	Endothelial cell	PTPRC	5788
Liver	Endothelial cell	RASGEF1B	153020
Liver	Endothelial cell	RASGRP3	25780
Liver	Endothelial cell	RELN	5649
Liver	Endothelial cell	RIN2	54453
Liver	Endothelial cell	SECISBP2L	9728
Liver	Endothelial cell	STAB1	23166
Liver	Endothelial cell	STRN3	29966
Liver	Endothelial cell	TCF12	6938
Liver	Endothelial cell	TEX264	51368
Liver	Endothelial cell	TFRC	7037
Liver	Endothelial cell	TRAPPC11	60684
Liver	Endothelial cell	TSPAN7	7102
Liver	Endothelial cell	USP48	84196
Liver	Endothelial cell	VWF	7450
Liver	Endothelial cell	ZNF286B	NA
Liver	Endothelial cell	STAB2	55576
Liver	Endothelial cell	CD34	947
Liver	Endothelial cell	PECAM1	5175
Liver	Hematopoietic cell	CD34	947
Liver	Hematopoietic cell	PTPRC	5788
Liver	Hepatic stellate cells	CYGB	114757
Liver	Hepatic stellate cells	PPARG	5468
Liver	Hepatic stellate cells	PDGFRA	5156
Liver	Hepatic stellate cells	RGS5	8490
Liver	Hepatic stellate cells	PPARA	5465
Liver	Hepatic stellate cells	FOXF1	2294
Liver	Hepatic stellate cells	ALB	213
Liver	Hepatic stellate cells	NR1H4	9971
Liver	Hepatic stellate cells	CCN2	1490
Liver	Hepatic stellate cells	SEMA7A	8482
Liver	Hepatic stellate cells	WT1	7490
Liver	Hepatic stellate cells	FGF10	2255
Liver	Hepatic stellate cells	GFAP	2670
Liver	Hepatic stellate cells	NGFR	4804
Liver	Hepatic stellate cells	VEGFA	7422
Liver	Hepatic stellate cells	ACTA2	59
Liver	Hepatic stellate cells	MYB	4602
Liver	Hepatic stellate cells	DES	1674
Liver	Hepatic stellate cells	FAP	2191
Liver	Hepatic stellate cells	SLC8A1	6546
Liver	Hepatic stellate cells	RELN	5649
Liver	Hepatic stellate cells	SYP	6855
Liver	Hepatic stellate cells	VCL	7414
Liver	Hepatic stellate cells	TIMP1	7076
Liver	Hepatic stellate cells	COL1A1	1277
Liver	Hepatic stellate cells	TAGLN	6876
Liver	Hepatic stellate cells	COL1A2	1278
Liver	Hepatic stellate cells	COL3A1	1281
Liver	Hepatic stellate cells	SPARC	6678
Liver	Hepatic stellate cells	RBP1	5947
Liver	Hepatic stellate cells	DCN	1634
Liver	Hepatic stellate cells	MYL9	10398
Liver	Hepatic stellate cells	TPM2	7169
Liver	Hepatic stellate cells	MEG3	55384
Liver	Hepatic stellate cells	BGN	633
Liver	Hepatic stellate cells	IGFBP7	3490
Liver	Hepatic stellate cells	IGFBP3	3486
Liver	Hepatic stellate cells	CCN1	3491
Liver	Hepatic stellate cells	OLFML3	56944
Liver	Hepatic stellate cells	IGFBP6	3489
Liver	Hepatic stellate cells	CCL2	6347
Liver	Hepatic stellate cells	COLEC11	78989
Liver	Hepatic stellate cells	HGF	3082
Liver	Hepatoblasts	AFP	174
Liver	Hepatoblasts	ALB	213
Liver	Hepatoblasts	CEBPA	1050
Liver	Hepatoblasts	KRT14	3861
Liver	Hepatoblasts	DLK1	8788
Liver	Hepatoblasts	CDH1	999
Liver	Hepatoblasts	FOXM1	2305
Liver	Hepatoblasts	GGT1	NA
Liver	Hepatoblasts	HNF4A	3172
Liver	Hepatoblasts	PROX1	5629
Liver	Hepatoblasts	MAP2K4	6416
Liver	Hepatoblasts	SMAD5	4090
Liver	Hepatoblasts	KRT18	NA
Liver	Hepatoblasts	KRT8	NA
Liver	Hepatoblasts	HNF1B	6928
Liver	Hepatoblasts	HHEX	3087
Liver	Hepatoblasts	MET	4233
Liver	Hepatocytes	AFP	174
Liver	Hepatocytes	HNF4A	3172
Liver	Hepatocytes	KRT8	NA
Liver	Hepatocytes	ALB	213
Liver	Hepatocytes	KRT18	NA
Liver	Hepatocytes	FOSL1	8061
Liver	Hepatocytes	EPPK1	83481
Liver	Hepatocytes	UCP2	7351
Liver	Hepatocytes	GCK	2645
Liver	Hepatocytes	LRP5	4041
Liver	Hepatocytes	SLC10A1	6554
Liver	Hepatocytes	NOS2	4843
Liver	Hepatocytes	ATP7B	540
Liver	Hepatocytes	GJB2	2706
Liver	Hepatocytes	FGFR4	2264
Liver	Hepatocytes	PROX1	5629
Liver	Hepatocytes	CRP	1401
Liver	Hepatocytes	SLC2A2	6514
Liver	Hepatocytes	TFR2	7036
Liver	Hepatocytes	KIF13B	23303
Liver	Hepatocytes	LIPC	3990
Liver	Hepatocytes	VDR	7421
Liver	Hepatocytes	ASGR1	432
Liver	Hepatocytes	ARG1	383
Liver	Hepatocytes	G6PC	NA
Liver	Hepatocytes	OTC	5009
Liver	Hepatocytes	SERPINA1	5265
Liver	Hepatocytes	ZHX2	22882
Liver	Hepatocytes	HHEX	3087
Liver	Hepatocytes	FOXA3	3171
Liver	Hepatocytes	FOXA2	3170
Liver	Hepatocytes	FOXA1	3169
Liver	Hepatocytes	CYP2E1	1571
Liver	Hepatocytes	CYP1A2	1544
Liver	Hepatocytes	CEBPA	1050
Liver	Hepatocytes	CDH1	999
Liver	Hepatocytes	GPC3	2719
Liver	Hepatocytes	AHR	196
Liver	Hepatocytes	CPS1	1373
Liver	Hepatocytes	GLS2	27165
Liver	Hepatocytes	PCK1	5105
Liver	Hepatocytes	TAT	6898
Liver	Hepatocytes	WT1	7490
Liver	Hepatocytes	PRRG4	79056
Liver	Hepatocytes	SULT1A1	6817
Liver	Hepatocytes	APOH	350
Liver	Hepatocytes	CTNNB1	1499
Liver	Hepatocytes	ABCC3	8714
Liver	Hepatocytes	FGB	2244
Liver	Hepatocytes	AQP3	360
Liver	Hepatocytes	PLSCR1	5359
Liver	Hepatocytes	FGA	2243
Liver	Hepatocytes	APOB	338
Liver	Hepatocytes	ANG	283
Liver	Hepatocytes	ANXA13	312
Liver	Hepatocytes	SAT2	112483
Liver	Hepatocytes	SFRP5	6425
Liver	Hepatocytes	A1CF	29974
Liver	Hepatocytes	APOA1	335
Liver	Hepatocytes	BNIP3	664
Liver	Hepatocytes	FGL1	2267
Liver	Hepatocytes	PAH	5053
Liver	Hepatocytes	SERPINA6	866
Liver	Hepatocytes	APOA2	336
Liver	Hepatocytes	AZGP1	563
Liver	Hepatocytes	FGG	2266
Liver	Hepatocytes	APOC3	345
Liver	Hepatocytes	DEFB1	1672
Liver	Hepatocytes	TM4SF4	7104
Liver	Hepatocytes	GC	2638
Liver	Hepatocytes	AMBP	259
Liver	Hepatocytes	ORM1	5004
Liver	Hepatocytes	TTR	7276
Liver	Hepatocytes	HAL	3034
Liver	Hepatocytes	ASS1	445
Liver	Hepatocytes	SCD	6319
Liver	Hepatocytes	HMGCS1	3157
Liver	Hepatocytes	ACSS2	55902
Liver	Hepatocytes	TM7SF2	7108
Liver	Hepatocytes	SEC16B	89866
Liver	Hepatocytes	SLBP	7884
Liver	Hepatocytes	RND3	390
Liver	Hepatocytes	BCHE	590
Liver	Hepatocytes	GHR	2690
Liver	Hepatocytes	ALDH6A1	4329
Liver	Hepatocytes	MASP2	10747
Liver	Hepatocytes	AKR1C1	1645
Liver	Hepatocytes	HAMP	57817
Liver	Hepatocytes	GLUL	2752
Liver	Hepatocytes	ACLY	47
Liver	Hepatocytes	ASL	435
Liver	Hepatocytes	TMEM97	27346
Liver	Hepatocytes	CP	1356
Liver	Hepatocytes	SLPI	6590
Liver	Hepatocytes	ACAT2	39
Liver	Hepatocytes	TM4SF5	9032
Liver	Hepatocytes	MSMO1	6307
Liver	Hepatocytes	LEPR	3953
Liver	Hepatocytes	RCAN1	1827
Liver	Hepatocytes	AR	367
Liver	Hepatocytes	RPP25L	138716
Liver	Hepatocytes	HSD11B1	3290
Liver	Hepatocytes	APOM	55937
Liver	Hepatocytes	TKFC	26007
Liver	Hepatocytes	G0S2	50486
Liver	Hepatocytes	PON3	5446
Liver	Hepatocytes	C1orf53	388722
Liver	Hepatocytes	TTC36	143941
Liver	Hepatocytes	FST	10468
Liver	Hepatocytes	MCC	4163
Liver	Hepatocytes	AQP9	366
Liver	Hepatocytes	GSTA2	NA
Liver	Hepatocytes	NNT	23530
Liver	Hepatocytes	SAA4	NA
Liver	Hepatocytes	MRPS18C	51023
Liver	Hepatocytes	OCIAD1	54940
Liver	Hepatocytes	APOA5	116519
Liver	Hepatocytes	ENTPD5	957
Liver	Hepatocytes	C4B	NA
Liver	Hepatocytes	EID2	163126
Liver	Hepatocytes	TP53INP2	58476
Liver	Hepatocytes	ATIC	471
Liver	Hepatocytes	SERPINH1	871
Liver	Hepatocytes	SAMD5	389432
Liver	Hepatocytes	GRB14	2888
Liver	Hepatocytes	CD3G	917
Liver	Hepatocytes	RHOB	388
Liver	Hepatocytes	EPB41L4B	54566
Liver	Hepatocytes	GPAT4	137964
Liver	Hepatocytes	SPTBN1	6711
Liver	Hepatocytes	SDC2	6383
Liver	Hepatocytes	PHLDA1	22822
Liver	Hepatocytes	WTAP	9589
Liver	Hepatocytes	ACADM	34
Liver	Immune system cells	CD19	930
Liver	Immune system cells	MS4A1	931
Liver	Immune system cells	IL2RA	3559
Liver	Immune system cells	PTPRC	5788
Liver	Immune system cells	CD4	920
Liver	Immune system cells	CD8A	925
Liver	Immune system cells	CD3D	915
Liver	Immune system cells	CD3E	916
Liver	Immune system cells	CD3G	917
Liver	Immune system cells	CD11C	NA
Liver	Immune system cells	CD14	929
Liver	Immune system cells	CD16	NA
Liver	Immune system cells	CD56	NA
Liver	Immune system cells	CD16	NA
Liver	Immune system cells	CD42B	NA
Liver	Immune system cells	CD7	924
Liver	Immune system cells	CD8	NA
Liver	Immune system cells	IGD	NA
Liver	Immune system cells	CD38	952
Liver	Immune system cells	CD24	100133941
Liver	Immune system cells	CD20	NA
Liver	Immune system cells	CD14	929
Liver	Immune system cells	CD16	NA
Liver	Immune system cells	HLA-DR	NA
Liver	Immune system cells	CD11B	NA
Liver	Immune system cells	CD11C	NA
Liver	Immune system cells	CD123	NA
Liver	Immune system cells	CD15	NA
Liver	Immune system cells	CD33	945
Liver	Immune system cells	CD66B	NA
Liver	Immune system cells	CD38	952
Liver	Immune system cells	CD27	939
Liver	Immune system cells	CD94	NA
Liver	Immune system cells	CD45	NA
Liver	Kupffer cells	CD14	929
Liver	Kupffer cells	CD68	968
Liver	Kupffer cells	TNF	7124
Liver	Kupffer cells	LYZ	4069
Liver	Kupffer cells	MPO	4353
Liver	Kupffer cells	VSIG4	11326
Liver	Kupffer cells	PROK2	60675
Liver	Kupffer cells	STARD5	80765
Liver	Kupffer cells	MSR1	4481
Liver	Kupffer cells	PPARA	5465
Liver	Kupffer cells	TREM1	54210
Liver	Kupffer cells	SLC11A1	6556
Liver	Kupffer cells	MMP13	4322
Liver	Kupffer cells	VDR	7421
Liver	Kupffer cells	CHIT1	1118
Liver	Kupffer cells	OSM	5008
Liver	Kupffer cells	PPARD	5467
Liver	Kupffer cells	CLEC4F	165530
Liver	Kupffer cells	ADGRE1	2015
Liver	Kupffer cells	IL1B	3553
Liver	Kupffer cells	SLC40A1	30061
Liver	Kupffer cells	G6PD	2539
Liver	Kupffer cells	TIMD4	91937
Liver	Kupffer cells	MNDA	4332
Liver	Kupffer cells	SLC15A3	51296
Liver	Kupffer cells	DNASE1L3	1776
Liver	Kupffer cells	MARCO	8685
Liver	Kupffer cells	HFE	3077
Liver	Kupffer cells	CD38	952
Liver	Kupffer cells	CD163	9332
Liver	Kupffer cells	CCR5	1234
Liver	Kupffer cells	CLEC1B	51266
Liver	Kupffer cells	CLEC4G	339390
Liver	Kupffer cells	GPIHBP1	338328
Liver	Kupffer cells	FOLR2	2350
Liver	Kupffer cells	PLTP	5360
Liver	Kupffer cells	FTL	2512
Liver	Kupffer cells	IRF7	3665
Liver	Kupffer cells	SPIC	121599
Liver	Kupffer cells	CSF1R	1436
Liver	Kupffer cells	C1QC	714
Liver	Kupffer cells	C1QA	712
Liver	Kupffer cells	C1QB	713
Liver	Kupffer cells	CLEC4E	26253
Liver	Liver progenitor cell	KRT7	3855
Liver	Liver progenitor cell	KRT19	3880
Liver	Mast cells	KIT	3815
Liver	Mast cells	ENPP3	5169
Liver	Mast cells	IL2RA	3559
Liver	Mast cells	ISG20	3669
Liver	Mast cells	SLC18A2	6571
Liver	Mast cells	CD9	928
Liver	Mast cells	FCER1A	2205
Liver	Mast cells	TPSB2	NA
Liver	Mast cells	FCER2	2208
Liver	Mesenchymal stem cell	CD44	960
Liver	Mesenchymal stem cell	ENG	2022
Liver	Mesenchymal stem cell	NT5E	4907
Liver	Mesenchymal stem cell	ITGB1	NA
Liver	Mesenchymal stem cell	THY1	7070
Liver	Monocytes	FCGR3A	NA
Liver	Monocytes	FCGR3B	2215
Liver	Monocytes	CD14	929
Liver	Monocytes	ELANE1	NA
Eye	Muller cells	APOE	348
Eye	Muller cells	GLUL	2752
Eye	Muller cells	RLBP1	6017
Eye	Muller cells	ABCA8A	NA
Eye	Muller cells	VIM	7431
Eye	Muller cells	ALDH1A1	216
Eye	Muller cells	RLBP1	6017
Eye	Muller cells	GLUL	2752
Eye	Muller cells	PAX6	5080
Eye	Muller cells	CA8	767
Eye	Muller cells	EDN2	1907
Eye	Muller cells	KCNJ2	3759
Eye	Muller cells	PRSS56	NA
Eye	Muller cells	RGR	5995
Eye	Muller cells	APOE	348
Eye	Muller cells	AQP4	361
Eye	Astrocytes	PRDX6	9588
Eye	Astrocytes	SLC1A3	6507
Eye	Astrocytes	PAX2	5076
Eye	Astrocytes	RLBP1	6017
Eye	Astrocytes	GFAP	2670
Eye	Astrocytes	S100B	6285
Eye	Retinal ganglion cells	BMP4	652
Eye	Retinal ganglion cells	GRIA4	2893
Eye	Retinal ganglion cells	GRM3	2913
Eye	Retinal ganglion cells	KCNJ2	3759
Eye	Retinal ganglion cells	MED1	5469
Eye	Retinal ganglion cells	NMT	NA
Eye	Retinal ganglion cells	POU6F2	11281
Eye	Retinal ganglion cells	ZIC2	7546
Eye	Retinal ganglion cells	SLC17A6	57084
Eye	Retinal ganglion cells	PAX6	5080
Eye	Retinal ganglion cells	THY1	7070
Eye	Retinal ganglion cells	NEFL	4747
Eye	Retinal ganglion cells	POU4F2	5458
Eye	Retinal ganglion cells	SNCG	6623
Eye	Retinal ganglion cells	NRN1	51299
Eye	Retinal ganglion cells	CERKL	NA
Eye	Retinal progenitor cells	PAX6	5080
Eye	Retinal progenitor cells	CALB2	794
Eye	Retinal progenitor cells	SIX6	4990
Eye	Retinal progenitor cells	RHO	6010
Eye	Retinal progenitor cells	SIX3	6496
Eye	Retinal progenitor cells	NEFH	4744
Eye	Retinal progenitor cells	LGR5	8549
Eye	Retinal progenitor cells	SAG	6295
Eye	Retinal progenitor cells	RAX	30062
Eye	Retinal progenitor cells	NOTCH1	4851
Eye	Retinal progenitor cells	HES1	3280
Eye	Retinal progenitor cells	MSI1	4440
Eye	Retinal progenitor cells	SOX9	6662
Eye	Retinal progenitor cells	KIT	3815
Eye	Retinal progenitor cells	PDGFRA	5156
Eye	Retinal progenitor cells	OG9X	NA
Eye	Retinal progenitor cells	SFRP2	6423
Eye	Retinal progenitor cells	FGF15	NA
Eye	Rod bipolar cells	PRKCA	5578
Eye	Rod bipolar cells	PCP4	5121
Eye	Rod bipolar cells	RCVRN	5957
Eye	Rod bipolar cells	SLC1A2	6506
Eye	Rod bipolar cells	CAR8	NA
Eye	Rod bipolar cells	SEBOX	645832
Eye	Rod bipolar cells	VSX2	NA
Eye	Rod bipolar cells	OTX2	5015
Eye	Rod bipolar cells	GRM3	2913
Eye	Rod bipolar cells	KCNA4	3739
Eye	Rod bipolar cells	KCNMA1	3778
Eye	Rod bipolar cells	RORB	6096
Eye	Rod bipolar cells	CABP5	56344
Eye	Rod bipolar cells	OG9X	NA
Eye	Rod bipolar cells	VSTM2B	NA
Eye	Rod bipolar cells	 CASP7	NA
Eye	Rod bipolar cells	 RPA1	NA
Eye	Rod bipolar cells	GABRA1	2554
Eye	Rod bipolar cells	LHX4	89884
Eye	Cone bipolar cells	PCP4	5121
Eye	Cone bipolar cells	RCVRN	5957
Eye	Cone bipolar cells	SLC1A2	6506
Eye	Cone bipolar cells	CAR8	NA
Eye	Cone bipolar cells	SCGN	10590
Eye	Cone bipolar cells	VSX2	NA
Eye	Cone bipolar cells	OTX2	5015
Eye	Cone bipolar cells	MIP	4284
Eye	Cone bipolar cells	GNAS	2778
Eye	Cone bipolar cells	ISL1	3670
Eye	Cone bipolar cells	SLC1A7	6512
Eye	Cone bipolar cells	GJD2	57369
Eye	Cone bipolar cells	GNB3	2784
Eye	Cone bipolar cells	GRIA4	2893
Eye	Cone bipolar cells	TJP2	9414
Eye	Cone bipolar cells	LRIT2	NA
Eye	Cone bipolar cells	CABP5	56344
Eye	Cone bipolar cells	SCGN	10590
Eye	Cone bipolar cells	VSX1	30813
Eye	Cone bipolar cells	GABRA1	2554
Eye	Cone bipolar cells	LHX4	89884
Eye	Cone bipolar cells	LHX3	8022
Eye	GABAergic amacrine cells	PAX6	5080
Eye	GABAergic amacrine cells	TFAP2A	7020
Eye	GABAergic amacrine cells	GAD2	2572
Eye	GABAergic amacrine cells	FUT4	2526
Eye	GABAergic amacrine cells	CALB2	794
Eye	GABAergic amacrine cells	PVALB	5816
Eye	GABAergic amacrine cells	PCP4	5121
Eye	GABAergic amacrine cells	VIP	7432
Eye	GABAergic amacrine cells	THY1	7070
Eye	GABAergic amacrine cells	STX1A	6804
Eye	GABAergic amacrine cells	MIP	4284
Eye	GABAergic amacrine cells	 GNAS	NA
Eye	GABAergic amacrine cells	 ISL1	NA
Eye	GABAergic amacrine cells	GAD1	2571
Eye	GABAergic amacrine cells	ZEB2	9839
Eye	GABAergic amacrine cells	TJP2	9414
Eye	GABAergic amacrine cells	SEMA3D	223117
Eye	GABAergic amacrine cells	POU6F2	11281
Eye	GABAergic amacrine cells	KCNMA1	3778
Eye	GABAergic amacrine cells	KCNA4	3739
Eye	GABAergic amacrine cells	GRM3	2913
Eye	GABAergic amacrine cells	GJD2	57369
Eye	GABAergic amacrine cells	FRMPD2	NA
Eye	GABAergic amacrine cells	PROX1	5629
Eye	GABAergic amacrine cells	NR4A2	4929
Eye	GABAergic amacrine cells	NGN2	NA
Eye	GABAergic amacrine cells	C1QL2	NA
Eye	GABAergic amacrine cells	RELN	5649
Eye	Rod photoreceptor cells	RHO	6010
Eye	Rod photoreceptor cells	PDC	5132
Eye	Rod photoreceptor cells	NRL	4901
Eye	Rod photoreceptor cells	ROM1	6094
Eye	Rod photoreceptor cells	CRX	1406
Eye	Rod photoreceptor cells	ARR3	407
Eye	Rod photoreceptor cells	CABP4	57010
Eye	Rod photoreceptor cells	CACNA1D	776
Eye	Rod photoreceptor cells	DYNLRB2	83657
Eye	Rod photoreceptor cells	EDN2	1907
Eye	Rod photoreceptor cells	FRMPD2	NA
Eye	Rod photoreceptor cells	GJD2	57369
Eye	Rod photoreceptor cells	KCNQ5	56479
Eye	Rod photoreceptor cells	KCNA4	3739
Eye	Rod photoreceptor cells	LRIT1	26103
Eye	Rod photoreceptor cells	LRIT2	NA
Eye	Rod photoreceptor cells	MAF	4094
Eye	Rod photoreceptor cells	MED1	5469
Eye	Rod photoreceptor cells	RORB	6096
Eye	Rod photoreceptor cells	RP1L1	94137
Eye	Rod photoreceptor cells	TSPAN10	83882
Eye	Rod photoreceptor cells	TTC8	123016
Eye	Rod photoreceptor cells	GCAP2	NA
Eye	Rod photoreceptor cells	SAMD7 	NA
Eye	Rod photoreceptor cells	CERKL 	NA
Eye	Rod photoreceptor cells	SAMD11	148398
Eye	Rod photoreceptor cells	SLC24A1	9187
Eye	Rod photoreceptor cells	RP1	6101
Eye	Rod photoreceptor cells	PDE6B	5158
Eye	Cone photoreceptor cells	ARR3	407
Eye	Cone photoreceptor cells	OPN1SW	611
Eye	Cone photoreceptor cells	NRL	4901
Eye	Cone photoreceptor cells	ROM1	6094
Eye	Cone photoreceptor cells	CRX	1406
Eye	Cone photoreceptor cells	ARR3	407
Eye	Cone photoreceptor cells	OPN1LW	NA
Eye	Cone photoreceptor cells	OPN1MW	NA
Eye	Cone photoreceptor cells	CABP4	57010
Eye	Cone photoreceptor cells	CACNA1D	776
Eye	Cone photoreceptor cells	EDN2	1907
Eye	Cone photoreceptor cells	GJD2	57369
Eye	Cone photoreceptor cells	GNB3	2784
Eye	Cone photoreceptor cells	KCNQ5	56479
Eye	Cone photoreceptor cells	LRIT1	26103
Eye	Cone photoreceptor cells	MED1	5469
Eye	Cone photoreceptor cells	RP1L1	94137
Eye	Cone photoreceptor cells	THRB	7068
Eye	Cone photoreceptor cells	TSPAN10	83882
Eye	Cone photoreceptor cells	TTC8	123016
Eye	Cone photoreceptor cells	OPMW	NA
Eye	Cone photoreceptor cells	SLC24A1	9187
Eye	Cone photoreceptor cells	RP1	6101
Eye	Cone photoreceptor cells	PDE6B	5158
Eye	Microglial cells	P2RY12	64805
Eye	Microglial cells	ITGAM	3684
Eye	Microglial cells	CD40	958
Eye	Microglial cells	PTPRC	5788
Eye	Microglial cells	CD68	968
Eye	Microglial cells	AIF1	199
Eye	Microglial cells	CX3CR1	1524
Eye	Microglial cells	TMEM119	338773
Eye	Microglial cells	ADGRE1	2015
Eye	Microglial cells	C1QA	712
Eye	Microglial cells	NOS2	4843
Eye	Microglial cells	TNF	7124
Eye	Microglial cells	ISYNA1	51477
Eye	Microglial cells	CCL4	6351
Eye	Microglial cells	ADORA3	140
Eye	Microglial cells	ADRB2	154
Eye	Microglial cells	BHLHE41	79365
Eye	Microglial cells	BIN1	274
Eye	Microglial cells	KLF2	10365
Eye	Microglial cells	NAV3	89795
Eye	Microglial cells	RHOB	388
Eye	Microglial cells	SALL1	6299
Eye	Microglial cells	SIGLEC8	27181
Eye	Microglial cells	SLC1A3	6507
Eye	Microglial cells	SPRY1	10252
Eye	Microglial cells	TAL1	6886
Eye	Microglial cells	CX3CR1	1524
Eye	Microglial cells	CX3CL1	6376
Eye	Horizontal cells	RCVRN	5957
Eye	Horizontal cells	PROX1	5629
Eye	Horizontal cells	NTRK1	4914
Eye	Horizontal cells	LHX1	3975
Eye	Horizontal cells	LIM2	3982
Eye	Horizontal cells	CALB2	794
Eye	Horizontal cells	CALB1	793
Eye	Horizontal cells	LIM1	NA
Eye	Horizontal cells	DLG2	1740
Eye	Horizontal cells	TFAP2B	7021
Eye	Horizontal cells	ZEB2	9839
Eye	Horizontal cells	LIM1	NA
Eye	Synapses	SYP	6855
Eye	Synapses	DLG4	1742
Eye	Synapses	HOMER1	9456
Eye	Synapses	SLC32A1	140679
Eye	Retinal pigment epithelial cells	EZR	7430
Eye	Retinal pigment epithelial cells	RPE65	6121
Eye	Retinal pigment epithelial cells	BEST1	7439
Eye	Retinal pigment epithelial cells	ANO2	57101
Eye	Retinal pigment epithelial cells	BMP2	650
Eye	Retinal pigment epithelial cells	BMP4	652
Eye	Retinal pigment epithelial cells	CLU	1191
Eye	Retinal pigment epithelial cells	EFEMP1	2202
Eye	Retinal pigment epithelial cells	IL4	3565
Eye	Retinal pigment epithelial cells	KCNJ5	3762
Eye	Retinal pigment epithelial cells	MED1	5469
Eye	Retinal pigment epithelial cells	RDH5	NA
Eye	Retinal pigment epithelial cells	RGR	5995
Eye	Retinal pigment epithelial cells	SBSPON	157869
Eye	Retinal pigment epithelial cells	TGFBR1	7046
Eye	Retinal pigment epithelial cells	TMEM98	26022
Eye	Retinal pigment epithelial cells	TTC8	123016
Eye	Retinal pigment epithelial cells	TRAF1	7185
Eye	Retinal pigment epithelial cells	CERKL	NA
Eye	Cornea epithelial cells	KRT3	3850
Eye	Cornea epithelial cells	KLF6	1316
Eye	Immune cells	CD25	NA
Eye	Immune cells	CD69	969
Eye	Immune cells	CD4	920
Eye	Immune cells	CD3	NA
Eye	Immune cells	ITGAM	3684
Eye	Immune cells	C1QA	712
Eye	Immune cells	FCER1G	2207
Eye	Immune cells	CD19	930
Eye	Immune cells	CD20	NA
Eye	Immune cells	TRAC	NA
Eye	Immune cells	LTB	4050
Eye	Immune cells	CD52	1043
Eye	Immune cells	TRBC2	NA
Eye	Fibroblasts	PAX6	5080
Eye	Fibroblasts	COL1A1	1277
Eye	Fibroblasts	TGFB1	7040
Eye	Fibroblasts	ACTA2	59
Eye	Fibroblasts	ICAM1	3383
Eye	Fibroblasts	FBLN1	2192
Eye	Fibroblasts	CRHBP	1393
Eye	Fibroblasts	FN1	2335
Eye	Fibroblasts	PDGFRA	5156
Eye	Endothelial cells	PECAM1	5175
Eye	Endothelial cells	VWF	7450
Eye	Endothelial cells	CDH5	1003
Eye	Endothelial cells	BMP2	650
Eye	Endothelial cells	BMP4	652
Eye	Endothelial cells	CD34	947
Eye	Endothelial cells	CD55	1604
Eye	Endothelial cells	FLT1	2321
Eye	Endothelial cells	MED1	5469
Eye	Endothelial cells	TGFBR1	7046
Eye	Endothelial cells	TMEM98	26022
Eye	Endothelial cells	TNFSF12	8742
Eye	Endothelial cells	CD93	22918
Eye	Endothelial cells	SLCO1A4	NA
Eye	Endothelial cells	CLDN5	7122
Eye	Endothelial cells	ICAM1	3383
Eye	Endothelial cells	GNG11	2791
Eye	Pericytes	KCNJ8	3764
Eye	Pericytes	 RGS5	NA
Eye	Pericytes	 DLK1	NA
Eye	Pericytes	  ABCC9	NA
Eye	Pericytes	SUR2B	NA
Eye	Pericytes	DLK1	8788
Eye	Pericytes	VCAM1	7412
Eye	Extracellular matrix cells	ANTXR2	118429
Eye	Extracellular matrix cells	COL10A1	1300
Eye	Extracellular matrix cells	EFEMP1	2202
Eye	Extracellular matrix cells	LAMA2	3908
Eye	Extracellular matrix cells	SNTB1	6641
Eye	Extracellular matrix cells	TCF7L2	6934
Eye	Extracellular matrix cells	TGFBR1	7046
Eye	Extracellular matrix cells	TMEM98	26022
Eye	Extracellular matrix cells	VIPR2	7434
Eye	Extracellular matrix cells	ZIC2	7546
Eye	Glycinergic amacrine cells	PAX6	5080
Eye	Glycinergic amacrine cells	TFAP2A	7020
Eye	Glycinergic amacrine cells	FUT4	2526
Eye	Glycinergic amacrine cells	CALB2	794
Eye	Glycinergic amacrine cells	PVALB	5816
Eye	Glycinergic amacrine cells	SLC6A9	6536
Eye	Glycinergic amacrine cells	PCP4	5121
Eye	Glycinergic amacrine cells	VIP	7432
Eye	Glycinergic amacrine cells	THY1	7070
Eye	Glycinergic amacrine cells	STX1A	6804
Eye	Glycinergic amacrine cells	MIP	4284
Eye	Glycinergic amacrine cells	 GNAS	NA
Eye	Glycinergic amacrine cells	ZEB2	9839
Eye	Glycinergic amacrine cells	TJP2	9414
Eye	Glycinergic amacrine cells	SEMA3D	223117
Eye	Glycinergic amacrine cells	POU6F2	11281
Eye	Glycinergic amacrine cells	KCNMA1	3778
Eye	Glycinergic amacrine cells	KCNA4	3739
Eye	Glycinergic amacrine cells	GRM3	2913
Eye	Glycinergic amacrine cells	GJD2	57369
Eye	Glycinergic amacrine cells	FRMPD2	NA
Eye	Glycinergic amacrine cells	PROX1	5629
Eye	Glycinergic amacrine cells	GLYT1	NA
Eye	Glycinergic amacrine cells	TGFB2	7042
Eye	Glycinergic amacrine cells	BE996002	NA
Eye	Glycinergic amacrine cells	CAMKV	79012
Eye	Glycinergic amacrine cells	TCF4	6925
Eye	Glycinergic amacrine cells	EFNA5	1946
Eye	Glycinergic amacrine cells	DAB1	1600
Eye	Glycinergic amacrine cells	SLC6A9	6536
Eye	Cholinergic GABAergic amacrine cells	PAX6	5080
Eye	Cholinergic GABAergic amacrine cells	TFAP2A	7020
Eye	Cholinergic GABAergic amacrine cells	GAD2	2572
