gene	chromosome	chromosome_hg19	map_location
105372989	NA	NA	22q12.2
105372990	NA	NA	22q12.2
105372991	NA	NA	22q12.2
105372994	NA	NA	22q12.2
105372995	NA	NA	22q12.2
105372997	NA	NA	22q12.2
105372998	NA	NA	22q12.3
105372999	NA	NA	22q12.3
105373000	NA	NA	22q12.3
105373002	NA	NA	22q12.3
105373003	NA	NA	22q12.3
105373004	NA	NA	22q12.3
105373006	NA	NA	22q12.3
105373007	NA	NA	22q12.3
105373009	NA	NA	22q12.3
105373010	NA	NA	22q12.3
105373012	NA	NA	22q12.3
105373013	NA	NA	22q12.3
105373014	NA	NA	22q12.3
105373015	NA	NA	22q12.3
105373016	NA	NA	22q12.3
105373017	NA	NA	22q12.3
105373018	NA	NA	22q12.3
105373019	NA	NA	22q12.3
105373020	NA	NA	22q12.3
105373021	NA	NA	22q12.3
105373022	NA	NA	22q12.3
105373023	NA	NA	22q12.3
105373024	NA	NA	22q13.1
105373025	NA	NA	1q41
105373027	NA	NA	22q13.1
105373029	NA	NA	22q13.1
105373030	NA	NA	22q13.1
105373031	NA	NA	22q13.1
105373032	NA	NA	22q13.1
105373033	NA	NA	22q13.1
105373034	NA	NA	1q41
105373035	NA	NA	22q13.1
105373037	NA	NA	22q13.1
105373038	NA	NA	22q13.2
105373041	NA	NA	1q41
105373042	NA	NA	22q13.2
105373043	NA	NA	22q13.2
105373044	NA	NA	22q13.2
105373046	NA	NA	1q41
105373047	NA	NA	22q13.2
105373051	NA	NA	22q13.2
105373053	NA	NA	22q13.2
105373054	NA	NA	22q13.2
105373056	NA	NA	1q42.11
105373057	NA	NA	22q13.31
105373058	NA	NA	22q13.31
105373059	NA	NA	22q13.31
105373060	NA	NA	22q13.31
105373061	NA	NA	1q42.11
105373062	NA	NA	22q13.31
105373063	NA	NA	22q13.31
105373064	NA	NA	22q13.31
105373066	NA	NA	22q13.31
105373067	NA	NA	22q13.31
105373068	NA	NA	22q13.31
105373069	NA	NA	22q13.31
105373071	NA	NA	22q13.31
105373074	NA	NA	22q13.31
105373075	NA	NA	22q13.31
105373077	NA	NA	22q13.31
105373080	NA	NA	22q13.32
105373081	NA	NA	22q13.32
105373083	NA	NA	22q13.32
105373085	NA	NA	22q13.32
105373086	NA	NA	22q13.32
105373087	NA	NA	22q13.33
105373089	NA	NA	22q13.33
105373091	NA	NA	22q13.33
105373095	NA	NA	22q13.33
105373096	NA	NA	22q13.33
105373098	NA	NA	22q13.33
105373100	NA	NA	22q13.33
105373102	NA	NA	Xp22.33 and Yp11.2
105373105	NA	NA	Xp22.33 and Yp11.2
105373106	NA	NA	1q42.12
105373108	NA	NA	1q42.12
105373109	NA	NA	1q42.12
105373110	NA	NA	1q42.12
105373113	NA	NA	1q42.12
105373115	NA	NA	1q42.12
105373116	NA	NA	1q42.12
105373117	NA	NA	1q42.12
105373119	NA	NA	1q42.13
105373122	NA	NA	1q42.13
105373124	NA	NA	1q42.13
105373125	NA	NA	Xp22.31
105373126	NA	NA	Xp22.2
105373131	NA	NA	Xp22.2
105373133	NA	NA	Xp22.2
105373134	NA	NA	Xp22.2
105373137	NA	NA	Xp22.2
105373138	NA	NA	Xp22.2
105373140	NA	NA	Xp22.2
105373142	NA	NA	Xp22.13
105373143	NA	NA	1q42.13
105373144	NA	NA	Xp22.13
105373146	NA	NA	Xp22.12
105373148	NA	NA	Xp22.11
105373150	NA	NA	Xp21.3
105373151	NA	NA	Xp21.3
105373152	NA	NA	Xp21.3
105373153	NA	NA	Xp21.1
105373154	NA	NA	Xp21.1
105373155	NA	NA	Xp21.1
105373156	NA	NA	Xp22.31
105373158	NA	NA	1q42.13
105373159	NA	NA	1q42.13
105373161	NA	NA	1q42.13
105373162	NA	NA	1q42.13
105373163	NA	NA	1q42.13
105373164	NA	NA	1q42.13
105373165	NA	NA	1q42.2
105373166	NA	NA	1q42.2
105373167	NA	NA	1q42.2
105373170	NA	NA	1q42.2
105373171	NA	NA	1q42.2
105373172	NA	NA	1q42.2
105373174	NA	NA	Xp11.4
105373175	NA	NA	Xp11.4
105373176	NA	NA	Xp11.4
105373177	NA	NA	Xp11.4
105373178	NA	NA	Xp11.4
105373180	NA	NA	Xp11.4
105373181	NA	NA	Xp11.4
105373182	NA	NA	Xp11.4
105373184	NA	NA	Xp11.4
105373185	NA	NA	Xp11.4
105373186	NA	NA	Xp11.3
105373188	NA	NA	Xp11.3
105373190	NA	NA	Xp11.3
105373191	NA	NA	Xp11.3
105373193	NA	NA	Xp11.3
105373194	NA	NA	Xp11.3
105373195	NA	NA	Xp11.23
105373196	NA	NA	1q42.2
105373198	NA	NA	1q42.2
105373199	NA	NA	1q42.2
105373201	NA	NA	1q42.2
105373202	NA	NA	Xp11.22
105373204	NA	NA	Xp11.22
105373205	NA	NA	Xp11.22
105373206	NA	NA	1q42.2
105373207	NA	NA	1q42.3
105373208	NA	NA	1q42.3
105373209	NA	NA	1q42.3
105373210	NA	NA	1q42.3
105373211	NA	NA	1q42.3
105373212	NA	NA	1q42.3
105373215	NA	NA	1q42.3
105373218	NA	NA	1q43
105373220	NA	NA	1q43
105373221	NA	NA	NA
105373222	NA	NA	1q43
105373223	NA	NA	1q43
105373224	NA	NA	1q43
105373225	NA	NA	1q43
105373228	NA	NA	1q43
105373230	NA	NA	1q43
105373231	NA	NA	1q43
105373233	NA	NA	1q43
105373234	NA	NA	1q43
105373235	NA	NA	1q43
105373239	NA	NA	Xq11.2
105373240	NA	NA	Xq12
105373241	NA	NA	Xq12
105373242	NA	NA	Xq13.1
105373244	X	NA	Xq13.1
105373247	NA	NA	Xq13.1
105373249	NA	NA	1q43
105373250	NA	NA	Xq13.1
105373251	X	NA	Xq13.1
105373252	NA	NA	Xq13.2
105373254	NA	NA	Xq21.1
105373255	NA	NA	1q43
105373258	NA	NA	1q44
105373260	NA	NA	1q44
105373261	NA	NA	1q44
105373262	NA	NA	1q44
105373264	NA	NA	1q44
105373265	NA	NA	1q44
105373266	NA	NA	1q44
105373269	NA	NA	1q44
105373270	NA	NA	1q44
105373271	NA	NA	1q44
105373273	NA	NA	1q44
105373275	NA	NA	1q44
105373277	NA	NA	1q44
105373279	NA	NA	1q44
105373281	NA	NA	1q41
105373282	NA	NA	Xq21.1
105373283	NA	NA	Xq21.1
105373284	NA	NA	Xq21.1
105373285	NA	NA	Xq21.1
105373286	NA	NA	Xq21.1
105373287	NA	NA	Xq21.1
105373288	NA	NA	Xq21.1
105373289	NA	NA	1q42.13
105373292	NA	NA	Xq21.31
105373293	NA	NA	Xq21.31
105373294	NA	NA	Xq21.33
105373296	NA	NA	Xq21.33
105373297	NA	NA	Xq21.33
105373298	NA	NA	Xq22.1
105373299	NA	NA	Xq22.1
105373300	NA	NA	Xq22.2
105373302	NA	NA	Xq22.2
105373303	NA	NA	Xq22.3
105373304	NA	NA	Xq22.3
105373305	NA	NA	Xq22.3
105373306	NA	NA	Xq22.3
105373310	NA	NA	Xq22.3
105373311	NA	NA	Xq23
105373312	NA	NA	Xq23
105373313	NA	NA	Xq23
105373314	NA	NA	Xq23
105373320	NA	NA	Xq23
105373323	NA	NA	Xq24
105373324	NA	NA	2p25.3
105373328	NA	NA	Xq24
105373331	NA	NA	Xq25
105373332	NA	NA	Xq25
105373333	NA	NA	Xq25
105373334	NA	NA	Xq26.1
105373335	NA	NA	Xq26.1
105373336	NA	NA	Xq26.1
105373338	NA	NA	Xq26.1
105373342	NA	NA	Xq26.3
105373343	NA	NA	Xq27.1
105373344	NA	NA	Xq27.1
105373345	NA	NA	Xq27.2
105373346	NA	NA	2p25.3
105373347	X	NA	Xq27.3
105373348	NA	NA	Xq27.3
105373349	NA	NA	Xq27.3
105373350	NA	NA	2p25.3
105373351	NA	NA	2p25.3
105373352	NA	NA	2p25.3
105373354	NA	NA	2p25.3
105373358	NA	NA	2p25.3
105373359	NA	NA	2p25.3
105373366	NA	NA	Xq28
105373367	NA	NA	Xq28
105373368	NA	NA	Xq28
105373369	NA	NA	Xq28
105373370	NA	NA	Xq28
105373372	NA	NA	Xq28
105373373	NA	NA	Xq28
105373377	X	NA	Xq28
105373378	NA	NA	Xq28
105373379	NA	NA	Xq28
105373381	NA	NA	Xq28
105373383	NA	NA	Xq28
105373384	NA	NA	Xq28
105373386	NA	NA	Xq28
105373387	NA	NA	Xq28
105373389	NA	NA	2p25.3
105373390	NA	NA	2p25.3
105373392	NA	NA	2p25.3
105373393	NA	NA	2p25.3
105373394	NA	NA	2p25.3
105373395	NA	NA	2p25.3
105373397	NA	NA	2p25.3
105373398	NA	NA	2p25.2
105373399	NA	NA	2p25.2
105373400	NA	NA	2p25.2
105373401	NA	NA	2p25.2
105373402	NA	NA	2p25.2
105373404	NA	NA	2p25.2
105373406	NA	NA	2p25.1
105373407	NA	NA	2p25.1
105373408	NA	NA	2p25.1
105373409	NA	NA	2p25.1
105373411	NA	NA	2p25.1
105373414	NA	NA	2p25.1
105373415	NA	NA	2p25.1
105373416	NA	NA	2p25.1
105373417	NA	NA	2p25.1
105373418	NA	NA	2p25.1
105373419	NA	NA	2p25.1
105373421	NA	NA	2p25.1
105373422	NA	NA	2p25.1
105373424	NA	NA	2p25.1
105373426	NA	NA	2p25.1
105373428	NA	NA	2p25.1
105373429	NA	NA	2p25.1
105373430	NA	NA	2p25.1
105373431	NA	NA	2p24.3
105373432	NA	NA	2p24.3
105373433	NA	NA	2p24.3
105373436	NA	NA	2p24.3
105373437	NA	NA	2p24.3
105373438	NA	NA	2p24.3
105373440	NA	NA	2p24.3
105373443	NA	NA	2p24.3
105373444	NA	NA	2p24.3
105373447	NA	NA	2p24.2
105373448	NA	NA	2p24.2
105373449	NA	NA	2p24.2
105373450	NA	NA	2p24.2
105373451	NA	NA	2p24.2
105373454	NA	NA	2p24.2
105373455	NA	NA	2p24.1
105373456	NA	NA	2p24.2
105373458	NA	NA	2p24.1
105373459	NA	NA	2p24.1
105373460	NA	NA	2p24.1
105373461	NA	NA	2p24.1
105373463	NA	NA	2p24.1
105373465	NA	NA	2p24.1
105373466	NA	NA	2p24.1
105373467	NA	NA	1q21.1
105373475	NA	NA	1q41
105373479	NA	NA	2p25.3
105373480	NA	NA	2p25.3
105373481	NA	NA	2p25.3
105373484	NA	NA	2p24.3
105373485	NA	NA	2p24.3
105373487	NA	NA	2q11.1
105373488	NA	NA	2q11.1
105373490	NA	NA	2q11.1
105373492	NA	NA	2q11.1
105373493	NA	NA	2q11.2
105373494	NA	NA	2q11.2
105373496	NA	NA	2q11.2
105373499	NA	NA	2q11.2
105373501	NA	NA	2q11.2
105373504	NA	NA	2q11.2
105373506	NA	NA	2q11.2
105373507	NA	NA	2q11.2
105373508	NA	NA	2q11.2
105373509	NA	NA	2q11.2
105373510	NA	NA	2q11.2
105373511	NA	NA	2q11.2
105373512	NA	NA	2q11.2
105373514	NA	NA	2q11.2
105373518	NA	NA	2q12.1
105373519	NA	NA	2q12.1
105373520	NA	NA	2q12.1
105373521	NA	NA	2q12.1
105373522	NA	NA	2q12.1
105373523	NA	NA	2q12.1
105373524	NA	NA	2q12.1
105373525	NA	NA	2q12.1
105373526	NA	NA	2q12.1
105373527	NA	NA	2q12.1
105373528	NA	NA	2q12.1
105373529	NA	NA	2q12.2
105373530	NA	NA	2q12.2
105373531	NA	NA	2q12.2
105373534	NA	NA	2q12.2
105373535	NA	NA	2q12.3
105373536	NA	NA	2q12.3
105373537	NA	NA	2q12.3
105373538	NA	NA	2q12.3
105373539	NA	NA	2q12.3
105373545	NA	NA	2q13
105373547	NA	NA	2q13
105373548	NA	NA	2q13
105373549	NA	NA	2q13
105373551	NA	NA	2q13
105373552	NA	NA	2q13
105373553	NA	NA	2q13
105373554	NA	NA	2q13
105373557	NA	NA	2q13
105373559	NA	NA	2q13
105373560	NA	NA	2q13
105373562	NA	NA	2q14.1
105373563	NA	NA	2q14.1
105373567	NA	NA	2q14.1
105373570	NA	NA	2q14.1
105373572	NA	NA	2q14.1
105373574	NA	NA	2q14.1
105373575	NA	NA	2q14.1
105373576	NA	NA	2q14.1
105373578	NA	NA	2q14.2
105373579	NA	NA	2q14.2
105373581	NA	NA	2q14.2
105373582	NA	NA	2q14.2
105373583	NA	NA	2q14.2
105373584	NA	NA	2q14.2
105373585	NA	NA	2q14.2
105373587	NA	NA	2q14.2
105373588	NA	NA	2q14.2
105373590	NA	NA	2q14.3
105373591	NA	NA	2q14.3
105373592	NA	NA	2q14.3
105373593	NA	NA	2q14.3
105373594	NA	NA	2q14.3
105373595	NA	NA	2q14.3
105373596	NA	NA	2q14.3
105373597	NA	NA	2q14.3
105373598	NA	NA	2q14.3
105373600	NA	NA	2q14.3
105373601	NA	NA	2q14.3
105373602	NA	NA	2q14.3
105373603	NA	NA	2q14.3
105373604	NA	NA	2q14.3
105373605	NA	NA	2q14.3
105373608	NA	NA	2q14.3
105373609	NA	NA	2q14.3
105373610	NA	NA	2q14.3
105373611	NA	NA	2q14.3
105373612	NA	NA	2q21.1
105373613	NA	NA	2q21.1
105373614	NA	NA	2q21.1
105373615	NA	NA	2q21.1
105373616	NA	NA	2q21.1
105373617	NA	NA	2q21.1
105373618	NA	NA	2q21.1
105373622	NA	NA	2q21.2
105373623	NA	NA	2q21.2
105373627	NA	NA	2q21.2
105373628	NA	NA	2q21.2
105373629	NA	NA	2q21.3
105373633	NA	NA	2q22.1
105373634	NA	NA	2q22.1
105373635	NA	NA	2q22.1
105373636	NA	NA	2q22.1
105373637	NA	NA	2q22.1
105373639	NA	NA	2q22.1
105373640	NA	NA	2q22.1
105373641	NA	NA	2q22.1
105373643	NA	NA	2q22.1
105373644	NA	NA	2q22.1
105373645	NA	NA	2q22.1
105373647	NA	NA	2q22.1
105373648	NA	NA	2q22.2
105373649	NA	NA	2q22.1
105373651	NA	NA	2q22.2
105373652	NA	NA	2q22.2
105373654	NA	NA	2q22.3
105373656	NA	NA	2q22.3
105373662	NA	NA	2q22.3
105373663	NA	NA	2q22.3
105373664	NA	NA	2q22.3
105373665	NA	NA	2q22.3
105373666	NA	NA	2q22.3
105373667	NA	NA	2q22.3
105373668	NA	NA	2q22.3
105373669	NA	NA	2q22.3
105373673	NA	NA	2q23.1
105373674	NA	NA	2q23.1
105373677	NA	NA	2q23.2
105373678	NA	NA	2q23.2
105373679	NA	NA	2q23.2
105373680	NA	NA	2q23.3
105373682	NA	NA	2q23.3
105373683	NA	NA	2q23.3
105373684	NA	NA	2q23.3
105373685	NA	NA	2q23.3
105373686	NA	NA	2q23.3
105373688	NA	NA	2q23.3
105373689	NA	NA	2q23.3
105373690	NA	NA	2q23.3
105373691	NA	NA	2q23.3
105373692	NA	NA	2q24.1
105373693	NA	NA	2q24.1
105373694	NA	NA	2q24.1
105373696	NA	NA	2q24.1
105373698	NA	NA	2q24.1
105373699	NA	NA	2q24.1
105373700	NA	NA	2q24.1
105373703	NA	NA	2q24.1
105373707	NA	NA	2q24.1
105373708	NA	NA	2q24.1
105373709	NA	NA	2q24.1
105373710	NA	NA	2q24.1
105373711	NA	NA	2q24.1
105373712	NA	NA	2q24.1
105373713	NA	NA	2q24.1
105373714	NA	NA	2q24.1
105373715	NA	NA	2q24.1
105373716	NA	NA	2q24.2
105373717	NA	NA	2q24.2
105373718	NA	NA	2q24.2
105373719	NA	NA	2q24.2
105373720	NA	NA	2q24.2
105373722	NA	NA	2q24.2
105373724	NA	NA	2q24.2
105373727	NA	NA	2q24.3
105373728	NA	NA	2q24.3
105373730	NA	NA	2q24.3
105373733	NA	NA	2q24.3
105373734	NA	NA	2q24.3
105373735	NA	NA	2q31.1
105373737	NA	NA	2q31.1
105373739	NA	NA	2q31.1
105373740	NA	NA	2q31.1
105373741	NA	NA	2q31.1
105373742	NA	NA	2q31.1
105373743	NA	NA	2q31.1
105373744	NA	NA	2q31.1
105373745	NA	NA	2q31.1
105373746	NA	NA	2q31.1
105373748	NA	NA	2q31.1
105373750	NA	NA	2q31.1
105373752	NA	NA	2q31.1
105373754	NA	NA	2q31.1
105373756	NA	NA	2q31.1
105373757	NA	NA	2q31.1
105373759	NA	NA	2q31.2
105373760	NA	NA	2q31.1-q31.2
105373762	NA	NA	2q31.2
105373764	NA	NA	2q31.2
105373766	NA	NA	2q31.2
105373767	NA	NA	2q31.3
105373768	NA	NA	2q31.3
105373769	NA	NA	2q31.3
105373770	NA	NA	2q31.3
105373771	NA	NA	2q31.3
105373772	NA	NA	2q31.3
105373774	NA	NA	2q32.1
105373775	NA	NA	2q32.1
105373776	NA	NA	2q32.1
105373777	NA	NA	2q32.1
105373779	NA	NA	2q32.1
105373780	2	NA	2q32.1
105373781	NA	NA	2q32.1
105373782	NA	NA	2q32.1
105373785	NA	NA	2q32.1
105373786	NA	NA	2q32.1
105373788	NA	NA	2q32.1
105373790	NA	NA	2q32.2
105373791	NA	NA	2q32.2
105373793	NA	NA	2q32.2
105373794	NA	NA	2q32.2
105373795	NA	NA	2q32.2
105373796	NA	NA	2q32.2
105373802	NA	NA	2q32.2
105373804	NA	NA	2q32.3
105373805	NA	NA	2q32.2
105373811	NA	NA	2q32.3
105373812	NA	NA	2q32.3
105373813	NA	NA	2q32.3
105373815	NA	NA	2q32.3
105373816	NA	NA	2q32.3
105373817	NA	NA	2q32.3
105373818	NA	NA	2q32.3
105373819	NA	NA	2q32.3
105373821	NA	NA	2q32.3
105373822	NA	NA	2q32.3
105373823	NA	NA	2q33.1
105373824	NA	NA	2q33.1
105373826	NA	NA	2q33.1
105373828	NA	NA	2q33.1
105373830	NA	NA	2q33.1
105373831	NA	NA	2q33.1
105373833	NA	NA	2q33.1
105373835	NA	NA	2q33.1
105373836	NA	NA	2q33.1
105373845	NA	NA	2q33.3
105373847	NA	NA	2q33.3
105373848	NA	NA	2q33.3
105373851	NA	NA	2q33.3
105373852	NA	NA	2q33.3
105373853	NA	NA	2q33.3
105373854	NA	NA	2q33.3
105373855	NA	NA	2q34
105373856	NA	NA	2q34
105373857	NA	NA	2q34
105373863	NA	NA	2q34
105373864	NA	NA	2q34
105373868	NA	NA	2q35
105373869	NA	NA	2q35
105373870	NA	NA	2q35
105373871	NA	NA	2q35
105373872	NA	NA	2q35
105373873	NA	NA	2q35
105373874	NA	NA	2q35
105373876	NA	NA	2q35
105373877	NA	NA	2q35
105373878	NA	NA	2q35
105373880	NA	NA	2q35
105373881	NA	NA	2q35
105373882	NA	NA	2q35
105373883	NA	NA	2q35
105373884	NA	NA	2q35
105373885	NA	NA	2q35
105373886	NA	NA	2q35
105373887	NA	NA	2q35
105373888	NA	NA	2q35
105373889	NA	NA	2q35
105373890	NA	NA	2q35
105373891	NA	NA	2q35
105373893	NA	NA	2q35
105373894	NA	NA	2q35
105373895	NA	NA	2q35
105373896	NA	NA	2q36.1
105373897	NA	NA	2q36.1
105373898	NA	NA	2q36.1
105373899	NA	NA	2q36.1
105373900	NA	NA	2q36.1
105373902	NA	NA	2q36.1
105373903	NA	NA	2q36.1
105373904	NA	NA	2q36.1
105373905	NA	NA	2q36.1
105373906	NA	NA	2q36.1
105373907	NA	NA	2q36.1
105373908	NA	NA	2q36.1
105373909	NA	NA	2q36.2
105373910	NA	NA	2q36.2
105373911	NA	NA	2q36.2
105373914	NA	NA	2q36.3
105373915	NA	NA	2q36.3
105373918	NA	NA	2q36.3
105373919	NA	NA	2q36.3
105373920	NA	NA	2q36.3
105373921	NA	NA	2q36.3
105373923	NA	NA	2q36.3
105373924	NA	NA	2q36.3
105373925	NA	NA	2q37.1
105373928	NA	NA	2q37.1
105373929	NA	NA	2q37.1
105373932	NA	NA	2q37.1
105373933	NA	NA	2q37.1
105373934	NA	NA	2q37.1
105373936	NA	NA	2q37.1
105373937	NA	NA	2q37.2
105373938	NA	NA	2q37.2
105373939	NA	NA	2q37.2
105373940	NA	NA	2q37.2
105373941	NA	NA	2q37.2
105373942	NA	NA	2q37.2
105373943	NA	NA	2q37.2
105373944	NA	NA	2q37.2
105373945	NA	NA	2q37.2
105373946	NA	NA	2q37.3
105373947	NA	NA	2q37.3
105373948	NA	NA	2q37.3
105373949	NA	NA	2q37.3
105373950	NA	NA	2q37.3
105373951	NA	NA	2q37.3
105373952	NA	NA	2q37.3
105373953	NA	NA	2q37.3
105373954	NA	NA	2q37.3
105373957	NA	NA	2q37.3
105373958	NA	NA	2q37.3
105373960	NA	NA	2q37.3
105373961	NA	NA	2q37.3
105373962	NA	NA	2q37.3
105373963	NA	NA	2q37.3
105373966	NA	NA	2q37.3
105373968	NA	NA	2q37.3
105373970	NA	NA	2q37.3
105373971	NA	NA	2q37.3
105373973	NA	NA	2q37.3
105373974	NA	NA	2q37.3
105373975	NA	NA	2q37.3
105373976	NA	NA	2q37.3
105373977	NA	NA	2q37.3
105373978	NA	NA	2q37.3
105373979	NA	NA	2q37.3
105373980	NA	NA	2q37.3
105373984	NA	NA	2q12.1
105373985	NA	NA	2q13
105373986	NA	NA	2q13
105373989	NA	NA	2q14.2
105373991	NA	NA	2q37.3
105373992	NA	NA	3q11.2
105373994	NA	NA	3q11.2
105373996	NA	NA	3q11.2
105373997	NA	NA	3q11.2
105373998	NA	NA	3q11.2
105373999	NA	NA	3q11.2
105374000	NA	NA	3q11.2
105374002	NA	NA	3q12.1
105374003	NA	NA	3q12.1
105374004	NA	NA	3q12.1
105374005	NA	NA	3q12.1
105374006	NA	NA	3q12.1
105374007	NA	NA	3q12.1
105374009	NA	NA	3q12.1
105374010	NA	NA	3q12.1
105374013	NA	NA	3q12.3
105374016	NA	NA	3q12.3
105374017	NA	NA	3q12.3
105374018	NA	NA	3q12.3
105374019	NA	NA	3q13.11
105374020	NA	NA	3q13.11
105374021	NA	NA	3q13.11
105374023	NA	NA	3q13.11
105374024	NA	NA	3q13.11
105374026	NA	NA	3q13.11
105374027	NA	NA	3q13.11
105374029	NA	NA	3q13.12
105374031	NA	NA	3q13.12
105374033	NA	NA	3q13.13
105374034	NA	NA	3q13.13
105374036	NA	NA	3q13.13
105374037	NA	NA	3q13.13
105374038	NA	NA	3q13.13
105374039	NA	NA	3q13.13
105374040	NA	NA	3q13.2
105374041	NA	NA	3q13.2
105374042	NA	NA	NA
105374048	NA	NA	3q13.31
105374051	NA	NA	3q13.31
105374052	NA	NA	3q13.31
105374053	NA	NA	3q13.31
105374054	NA	NA	3q13.31
105374056	NA	NA	3q13.31
105374057	NA	NA	3q13.32
105374058	NA	NA	3q13.32
105374059	NA	NA	3q13.32
105374060	NA	NA	3q13.32
105374062	NA	NA	3q13.33
105374063	NA	NA	3q13.33
105374064	NA	NA	3q13.33
105374065	NA	NA	3q13.33
105374069	NA	NA	3q13.33
105374071	NA	NA	3q21.1
105374076	NA	NA	3q21.2
105374077	NA	NA	3q21.2
105374080	NA	NA	3q21.2
105374081	NA	NA	3q21.2
105374083	NA	NA	3q21.3
105374085	NA	NA	3q21.2|3q21.2-q21.3
105374088	NA	NA	3q21.3
105374089	NA	NA	3q21.3
105374090	NA	NA	3q21.3
105374094	NA	NA	3q21.3
105374096	NA	NA	3q21.3
105374101	NA	NA	3q21.3
105374102	NA	NA	3q21.3
105374103	NA	NA	3q22.1
105374104	NA	NA	3q22.1
105374105	NA	NA	3q22.1
105374106	NA	NA	3q22.1
105374107	NA	NA	3q22.1
105374108	NA	NA	3q22.1
105374110	NA	NA	3q22.1
105374111	NA	NA	3q22.1
105374113	NA	NA	3q22.1
105374114	NA	NA	3q22.1
105374115	NA	NA	3q22.1
105374116	NA	NA	3q22.1
105374117	NA	NA	3q22.2
105374118	NA	NA	3q22.2
105374119	NA	NA	3q22.2
105374120	NA	NA	3q22.2
105374121	NA	NA	3q22.2
105374122	NA	NA	3q22.2
105374123	NA	NA	3q22.2
105374124	NA	NA	3q22.2
105374126	NA	NA	3q22.3
105374127	NA	NA	3q22.3
105374128	NA	NA	3q22.3
105374129	NA	NA	3q22.3
105374132	NA	NA	3q23
105374134	NA	NA	3q23
105374136	NA	NA	3q23
105374137	NA	NA	3q24
105374138	NA	NA	3q23-q24
105374139	NA	NA	3q24
105374140	NA	NA	3q24
105374141	NA	NA	3q24
105374142	NA	NA	3q24
105374143	NA	NA	3q24
105374144	NA	NA	3q24
105374145	NA	NA	3q24
105374146	NA	NA	3q24
105374147	NA	NA	3q24
105374148	NA	NA	3q24
105374149	NA	NA	3q24
105374150	NA	NA	3q24
105374151	NA	NA	3q25.1
105374152	NA	NA	3q25.1
105374153	NA	NA	3q25.1
105374154	NA	NA	3q25.1
105374155	NA	NA	3q25.1
105374157	NA	NA	3q25.1
105374158	NA	NA	3q25.1
105374159	NA	NA	3q25.1
105374160	NA	NA	3q25.1
105374162	NA	NA	3q25.2
105374163	NA	NA	3q25.2
105374164	NA	NA	3q25.2
105374165	NA	NA	3q25.2
105374166	NA	NA	3q25.2
105374167	NA	NA	3q25.2
105374170	NA	NA	3q25.2
105374171	NA	NA	3q25.2
105374172	NA	NA	3q25.31
105374174	NA	NA	3q25.31
105374177	NA	NA	3q25.31
105374179	NA	NA	3q25.31
105374181	NA	NA	3q25.32
105374186	NA	NA	3q26.1
105374187	NA	NA	3q26.1
105374188	NA	NA	3q26.1
105374189	NA	NA	3q26.1
105374190	NA	NA	3q26.1
105374191	NA	NA	3q26.1
105374192	NA	NA	3q26.1
105374193	NA	NA	3q26.1
105374194	NA	NA	3q26.1
105374195	NA	NA	3q26.1
105374196	NA	NA	3q26.1
105374197	NA	NA	3q26.1
105374200	NA	NA	3q26.2
105374201	NA	NA	3q26.2
105374205	NA	NA	3q26.2
105374206	NA	NA	3q26.2
105374209	NA	NA	3q26.2
105374211	NA	NA	3q26.2
105374216	NA	NA	3q26.2
105374217	NA	NA	3q26.31
105374218	NA	NA	3q26.31
105374219	NA	NA	3q26.31
105374220	NA	NA	3q26.31
105374221	NA	NA	3q26.31
105374224	NA	NA	3q26.31
105374225	NA	NA	3q26.31
105374226	NA	NA	3q26.31
105374229	NA	NA	3q26.32
105374230	NA	NA	3q26.32
105374234	NA	NA	3q26.32
105374235	NA	NA	3q26.32
105374240	NA	NA	3q26.33
105374242	NA	NA	3q26.33
105374243	NA	NA	3q26.33
105374244	NA	NA	3q26.33
105374245	NA	NA	3q26.33
105374246	NA	NA	3q26.33
105374247	NA	NA	3q27.1
105374248	NA	NA	3q27.1
105374249	NA	NA	3q27.1
105374250	CHR_HSCHR3_5_CTG2_1__3	NA	3q27.1
105374251	NA	NA	3q27.1
105374252	NA	NA	NA
105374253	NA	NA	3q27.1
105374254	NA	NA	3q27.2
105374257	NA	NA	3q27.2
105374258	NA	NA	3q27.3
105374259	NA	NA	3q27.3
105374260	NA	NA	3q27.3
105374261	NA	NA	3q27.3
105374262	NA	NA	3q27.3
105374263	NA	NA	3q27.3
105374264	NA	NA	3q27.3
105374265	NA	NA	3q27.3
105374266	NA	NA	3q27.3
105374270	NA	NA	3q28
105374272	NA	NA	3q28
105374275	NA	NA	3q28
105374276	NA	NA	3q28
105374277	NA	NA	3q28
105374280	NA	NA	3q29
105374282	NA	NA	3q29
105374283	NA	NA	3q29
105374284	NA	NA	3q29
105374285	NA	NA	3q29
105374286	NA	NA	3q29
105374287	NA	NA	3q29
105374289	NA	NA	3q29
105374291	NA	NA	3q29
105374292	NA	NA	3q29
105374293	NA	NA	3q29
105374294	NA	NA	3q29
105374295	NA	NA	3q29
105374296	NA	NA	3q29
105374297	NA	NA	3q29
105374298	NA	NA	3q29
105374299	NA	NA	3q29
105374301	NA	NA	3q29
105374303	NA	NA	3q29
105374304	NA	NA	3q29
105374306	NA	NA	3q29
105374307	NA	NA	3q29
105374308	NA	NA	3q29
105374309	NA	NA	3q29
105374310	NA	NA	3q29
105374312	NA	NA	3q21.2
105374313	NA	NA	3q25.1
105374314	NA	NA	3q25.33
105374317	NA	NA	2p24.1
105374318	NA	NA	2p24.1
