gene	chromosome	map_location
1785	19	19p13.2
1786	19	19p13.2
1787	10	10p13
1788	2	2p23.3
1789	20	20q11.21
1791	10	10q24.1
1793	10	10q26.2
1794	5	5q35.1
1795	3	3p21.2
1796	2	2p13.1
1798	11	11q23.3
18	16	16p13.2
1800	16	16q24.3
1801	17	17p13.3
1802	1	1p34.1
1803	2	2q24.2
1805	1	1q24.2
1806	1	1p21.3
1807	8	8q22.3
1808	8	8p21.2
1809	5	5q32
181	16	16q22.1
1810	1	1p22.1
1811	7	7q22.3-q31.1
1812	5	5q35.2
1813	11	11q23.2
1814	3	3q13.31
1816	4	4p16.1
1819	17	17p11.2
182	20	20p12.2
1820	19	19p13.3
1821	X	Xq22.1
1822	12	12p13.31
1823	18	18q12.1
1824	18	18q12.1
1825	18	18q12.1
1826	21	21q22.2
1827	21	21q22.12
1828	18	18q12.1
1829	18	18q12.1
183	1	1q42.2
1830	18	18q12.1
1831	X	Xq22.3
1832	6	6p24.3
1833	12	12q21.33
1834	4	4q22.1
1836	5	5q32
1837	18	18q12.1
1838	2	2p23.3
1839	5	5q31.3
1840	12	12q24.13
1841	2	2q37.3
1842	9	9q22.31
1843	5	5q35.1
1844	2	2q11.2
1845	17	17q21.31
1846	8	8p12
1847	10	10q25.2
1848	12	12q21.33
1849	3	3p21.2
185	3	3q24
1852	X	Xq28
1854	15	15q21.1
1855	1	1p36.33
1856	17	17p13.1
1857	3	3q27.1
1859	21	21q22.13
186	X	Xq23
1861	9	9q34.11
1869	20	20q11.22
187	11	11q12.1
1871	6	6p22.3
1874	16	16q22.1
1875	8	8q21.2
1876	2	2p25.1
1877	16	16p13.3
1879	5	5q33.3
1880	13	13q32.3
1889	1	1p36.12
189	2	2q37.3
1890	22	22q13.33
1892	10	10q26.3
1893	1	1q21.2
1894	3	3q26.31
1896	X	Xq13.1
19	9	9q31.1
190	X	Xp21.2
1901	1	1p21.2
1902	9	9q31.3
1903	9	9q22.1
1906	6	6p24.1
1907	1	1p34.2
1908	20	20q13.32
1909	4	4q31.22-q31.23
191	20	20q11.22
1910	13	13q22.3
1911	12	12p13.31
1912	1	1p35.1
1915	6	6q13
1917	20	20q13.33
192111	12	12q24.33
192134	11	11q13.5
192286	5	5q35.2
192666	17	17q21.2
192668	2	2p25.1
192669	1	1p34.3
192670	1	1p34.3
192683	15	15q24.2
193629	21	21q21.3
1937	11	11q12.3
1938	19	19p13.3
1939	1	1q32.1
1942	1	1q22
1943	19	19p13.3
1944	1	1q21.3
1945	1	1q21.3
1946	5	5q21.3
1947	X	Xq13.1
1948	13	13q33.3
1949	17	17p13.1
1950	4	4q25
1951	3	3p21.31
1952	1	1p13.3
1953	1	1p36.32
1954	19	19q13.2
1955	9	9q33.2
1956	7	7p11.2
1958	5	5q31.2
195814	8	8q12.1
195827	9	9q22.33
195828	9	9q22.32|9q22.32
1959	10	10q21.3
195977	10	10q11.22
196	7	7p21.1
1960	8	8p21.3
196047	10	10q26.11
196051	10	10q26.12
196074	11	11p14.1
1961	2	2p13.2
1962	3	3q27.2
196264	11	11q23.3
196294	11	11p13
196335	11	11p15.4
196374	12	12q13.13
196383	12	12q24.31
196394	12	12p11.21
1964	X	Xp22.12
196403	12	12q13.3
196410	12	12q13.2
196415	12	12p12.1
196441	12	12q21.1
196446	12	12q15
196463	12	12q24.13
196472	12	12q23.1
196475	12	12q23.1|12q21
196477	12	12q21.33
196483	16	16p13.3
1965	14	14q23.3
196500	12	12p13.31
196527	12	12q12
196528	12	12q12
196541	13	13q33.1
1967	12	12q24.31
196740	10	10q11.23
196743	10	10q26.3
196792	10	10q26.13
1968	X	Xp22.11
196872	14	14q32.33
1969	1	1p36.13
196913	14	14q21.3
196951	15	15q21.2
196968	15	15q26.3
196993	15	15q23
196996	15	15q23
197	3	3q27.3
197021	15	15q22.31
197131	15	15q15.2
197187	16	16q24.2
197196	16	16q24.1
197257	16	16q23.1
197258	16	16q22.1
197259	16	16q23.1
1973	17	17p13.1
197320	16	16q24.3
197322	16	16q24.3
197335	16	16p13.3
197342	16	16p13.3
197350	16	16p13.3
197358	16	16p13.3
197370	16	16p12.1
1974	3	3q27.3
197407	16	16p11.2
1975	12	12q13.13
1977	4	4q23
1978	8	8p11.23
1979	10	10q22.1
1981	3	3q27.1
1982	11	11p15.4
1983	14	14q32.32
1984	17	17p13.1
198437	20	20q13.33
1990	12	12q13.13
1992	6	6p25.2
199221	3	3q22.3
199223	3	3p22.2
1993	9	9p21.3
1994	19	19p13.2
1995	19	19p13.2
1996	1	1p33-p32.3
199675	19	19p13.2
199692	19	19p13.2
199699	19	19p13.13
1997	13	13q14.11
199704	19	19q13.12
199720	19	19q13.2
199731	19	19q13.31
199745	19	19q13.12
199746	19	19q13.12
199777	19	19p12
199786	19	19p13.11
1998	4	4q31.1
199800	19	19q13.33
199834	1	1q21.3
199857	1	1p21.3
199870	1	1p35.3
199899	1	1p31.3
1999	1	1q32.1
199920	1	1p32.2
199953	1	1p36.22
199964	1	1p32.3
199974	1	1p33
199990	1	1p36.33
2	12	12p13.31
20	9	9q34.3
2000	X	Xq26.1
200008	1	1p32.3
200010	1	1p33
200014	1	1p32.3
200030	1	1q21.2
200035	1	1q21.1
200081	1	1p35.2
2001	11	11p13
200132	1	1p31.3
200150	1	1q43
200159	1	1q44
200162	1	1p12
200172	1	1p34.2
200185	1	1q22
200186	1	1q21.3
200197	1	1p36.21
2002	X	Xp11.23
200205	1	1q42.13
200232	20	20q13.31
200261	20	20p11.21
200298	22	22q11.21
200312	22	22q12.2
200316	22	22q13.1
200350	2	2q14.1
200373	2	2q14.2
2004	12	12q23.1
200403	2	2q11.2
200407	2	2q11.2
200420	2	2p13.1
200424	2	2p13.1
2005	1	1q32.1
200504	2	2p13.3
200523	2	2p11.2
200539	2	2q11.2
200558	2	2p13.3
200576	2	2q34
2006	7	7q11.23
200634	2	2p23.3
200726	2	2q33.3
200728	2	2p15
200734	2	2p14
200765	2	2q37.1
200772	2	2q37.3
200810	3	3q21.2
200844	3	3p14.2
200845	3	3p14.3
200879	3	3q27.2
200894	3	3q11.1-q11.2
200895	3	3q11.2
2009	14	14q32.2
200909	3	3q27.1
200916	3	3q26.2
200931	3	3q29
200933	3	3q29
200942	3	3p21.31
200959	3	3q11.2
2010	X	Xq28
2011	11	11q13.1
201134	17	17q24.1
201140	17	17p13.1
201158	17	17p12
201161	17	17p11.2
201163	17	17p11.2
201164	17	17p11.2
201181	17	17q21.2
201191	17	17q21.33
2012	12	12p13.1
201229	17	17q11.2
201232	17	17p13.1
201254	17	17q25.3
201255	17	17q25.3
201283	17	17q24.1
201292	17	17q25.1
201294	17	17q25.1
2013	16	16p13.13
201305	17	17p13.2
2014	19	19q13.33
201456	18	18q22.3
201475	18	18p11.22
201477	18	18p11.31
2015	19	19p13.3-p13.2
201501	18	18q21.1
201514	19	19q13.43
201516	19	19q13.43
201562	3	3q21.1
201595	3	3p23
2016	2	2p13.2
201617	3	3p13
201625	3	3p14.3
201626	3	3p14.3
201627	3	3p14.3
201633	3	3q13.31
201651	3	3q25.1
2017	11	11q13.3
201725	4	4q32.1
201780	4	4p11
201798	4	4q31.3
201799	4	4q31.3
2018	10	10q26.11
201895	4	4p14
2019	2	2q14.2
201931	4	4q32.3
201965	4	4q35.1
201973	4	4q35.1
202	6	6q21
2020	7	7q36.3
202018	4	4p15.32
202020	4	4p15.32
202051	5	5q31.2
202052	5	5q31.2
2021	9	9q34.11
202134	5	5q35.2
202151	5	5p13.2
202181	5	5q35.3
2022	9	9q34.11
2023	1	1p36.23
202309	5	5q11.2
202333	5	5q14.1
202374	5	5q32
202459	6	6q25.3
202500	6	6p21.1
202559	6	6q11.1
2026	12	12p13.31
202658	6	6p22.1
2027	17	17p13.2
202781	7	7q36.2
2028	4	4q25
202865	7	7q36.1
2029	1	1q21.3
202915	7	7p22.3
203	9	9q34.11
2030	6	6p21.1
203062	8	8q24.3
203069	8	8p21.3
203100	8	8p11.22
203111	8	8q22.2
203190	8	8p21.3
203197	9	9q32
203228	9	9p21.2
203238	9	9p22.3
203245	9	9q34.11
203259	9	9p13.3
203260	9	9p13.3
203274	9	9q21.11
203286	9	9q22.33
2033	22	22q13.2
203328	9	9q22.31
2034	2	2p21
203413	X	Xq23
203427	X	Xq24
203430	X	Xq21.1
203447	X	Xq22.3
2035	1	1p35.3
203522	X	Xq26.3
203523	X	Xq26.3
203547	X	Xq28
203562	X	Xq22.2
203569	X	Xp11.21
2036	20	20q11.23
203611	Y	Yq11.222
2037	6	6q23.1-q23.2
2038	15	15q15.2
203859	11	11p14.3
2039	8	8p21.3
204	1	1p35.1
2040	9	9q33.2
204010	12	12q14.3
2042	3	3p11.1
204219	15	15q26.3
2043	2	2q36.1
2044	4	4q13.1-q13.2
204474	16	16p12.3
2045	6	6q16.1
2046	1	1p36.12
2047	3	3q22.2
2048	1	1p36.12
204801	19	19q13.42-q13.43
204851	1	1p13.2
2049	3	3q27.1
204962	1	1p31.1
205	1	1p31.3
2050	7	7q22.1
205147	2	2q21.1
2052	1	1q42.12
205251	2	2q13
2053	8	8p21.2-p21.1
205327	2	2q33.1
2054	12	12q24.33
205428	3	3q24
205564	3	3q29
2056	7	7q22.1
2057	19	19p13.2
205717	3	3q13.2
2058	1	1q41
205860	4	4q35.2
2059	12	12p12.3
2060	1	1p32.3
2063	19	19p13.11
206338	5	5q23.1
206358	5	5q33.1
2064	17	17q12
206412	6	6q15
206426	6	6p24.3
2065	12	12q13.2
2066	2	2q34
2067	19	19q13.32
2068	19	19q13.32
2069	4	4q13.3
207	14	14q32.33
2070	6	6q23.2
207063	X	Xp22.33 and Yp11.2
2071	2	2q14.3
207107	10	10p14
2072	16	16p13.12
2073	13	13q33.1
2074	10	10q11.23
2077	19	19q13.2
2078	21	21q22.2
2079	14	14q24.1
208	19	19q13.2
2081	17	17q23.3
2086	7	7q11.21
2098	13	13q14.2
2099	6	6q25.1-q25.2
21	16	16p13.3
210	9	9q32
2100	14	14q23.2-q23.3
2101	11	11q13.1
2103	14	14q24.3
2104	1	1q41
2107	5	5q31.2
2108	15	15q24.2-q24.3
2109	19	19q13.41
211	3	3p21.2
2110	4	4q32.1
2113	11	11q24.3
2114	21	21q22.2
2115	7	7p21.2
2116	19	19q13.12
2117	1	1q23.1
2118	17	17q21.31
2119	3	3q27.2
212	X	Xp11.21
2120	12	12p13.2
2121	4	4p16.2
2122	3	3q26.2
2123	17	17q11.2
2124	17	17q11.2
2125	17	17q25.1
2128	7	7p15.2
213	4	4q13.3
2130	22	22q12.2
2131	8	8q24.11
2132	11	11p11.2
2134	1	1p36.11
2135	1	1p21.2
2137	8	8p21.1
2138	8	8q13.3
2139	20	20q13.12
214	3	3q13.11
2140	1	1p35.3
2145	17	17q21.2
2146	7	7q36.1
2147	11	11p11.2
2149	5	5q13.3
215	X	Xq28
2150	5	5q13.3
2151	5	5q13.3
2152	1	1p21.3
2153	1	1q24.2
2155	13	13q34
2157	X	Xq28
2158	X	Xq27.1
2159	13	13q34
216	9	9q21.13
2160	4	4q35.2
2161	5	5q35.3
2162	6	6p25.1
2165	1	1q31.3
2166	1	1p33
2167	8	8q21.13
2168	2	2p11.2
2169	4	4q26
217	12	12q24.12
2170	1	1p35.2
2171	8	8q21.13
2172	5	5q33.3
2173	6	6q22.31
2175	16	16q24.3
2176	9	9q22.32
2177	3	3p25.3
2178	6	6p21.31
218	17	17p11.2
2180	4	4q35.1
2181	2	2q36.1
2182	X	Xq23
2184	15	15q25.1
2185	8	8p21.2
2186	17	17q24.2
2187	X	Xp22.2
2188	11	11p14.3
2189	9	9p13.3
219	9	9p13.1
2191	2	2q24.2
2192	22	22q13.31
219285	7	7q21.2
219287	13	13q12.13
219293	1	1p36.33
2193	19	19p13.13
219333	13	13q12.13
219347	10	10q22.3
219348	10	10q22.3
2194	17	17q25.3
219402	13	13q12.2
219409	13	13q12.2
219417	11	11q12.1
219428	11	11q11
219429	11	11q11
219431	11	11q11
219432	11	11q11
219436	11	11q11
219437	11	11q12.1
219438	11	11q12.1
219445	11	11q12.1
219447	11	11q12.1
219453	11	11q12.1
219479	11	11q12.1
219482	11	11q12.1
219484	11	11q12.1
219487	11	11q12.1
219493	11	11q12.1
2195	4	4q35.2
219527	11	11q12.1
219537	11	11q12.1
219539	11	11q12.1
219541	11	11q12.1
219557	7	7q21.13
219578	7	7q21.13
219595	11	11q14.3
2196	5	5q33.1
219621	10	10q21.2
219623	10	10q21.2
219654	10	10q22.3
219670	10	10p12.1
219681	10	10p12.2
219699	10	10q22.1
2197	11	11q13.1
219731	10	10p14
219736	10	10q22.1
219738	10	10q22.1
219743	10	10q22.1
219749	10	10p11.21
219770	10	10p11.21
219771	10	10p11.21
219790	10	10q21.2
219793	10	10q22.1
219833	11	11q24.3
219844	11	11q24.2
219854	11	11q24.2
219855	11	11q24.2
219858	11	11q24.2
219865	11	11q24.2
219869	11	11q24.2
219870	11	11q24.2
219873	11	11q24.1
219874	11	11q24.1
219875	11	11q24.1
219899	11	11q23.3
2199	3	3p25.1
219902	11	11q23.3
219927	11	11q13.3
219931	11	11q13.3
219938	11	11q25
219952	11	11q12.1
219954	11	11q12.1
219956	11	11q12.1
219957	11	11q12.1
219958	11	11q12.1
219959	11	11q12.1
219960	11	11q12.1
219965	11	11q12.1
219968	11	11q12.1
219970	11	11q12.1
219972	11	11q12.1
219981	11	11q12.1
219982	11	11q12.1
219983	11	11q12.1
219986	11	11q12.1
219988	11	11q12.1
219995	11	11q12.2
22	X	Xq13.3
220	15	15q26.3
2200	15	15q21.1
220001	11	11q12.2
220002	11	11q12.2
220004	11	11q12.2
220032	11	11q13.5
220042	11	11q14.1
220047	11	11q14.1-q14.2
220064	11	11q13.3
220074	11	11q13.4
220081	13	13q14.13
220082	13	13q14.13
2201	5	5q23.3
220107	13	13q14.3
220108	13	13q14.3
220115	13	13q14.3
220136	18	18q21.1
220158	18	18q22.2
220164	18	18q22.2
2202	2	2p16.1
220202	10	10q21.3|10q21.3-q22.1
220213	10	10p12.2
220296	11	11q24.2
2203	9	9q22.32
220323	11	11q23.3
220359	11	11q13.1
220382	11	11q14.1
220388	11	11q14.1
220416	13	13q14.13
220429	13	13q14.2
220441	18	18q21.33
2205	1	1q23.2
220594	17	17p11.2
2206	11	11q12.1
2207	1	1q23.3
220729	3	3q29
2208	19	19p13.2
220832	7	7q36.1
220869	9	9q21.11
2209	1	1q21.2
220906	10	10p12.1
220929	10	10p11.23
220930	10	10p11.22
220963	10	10q21.2
220965	10	10q21.1
220979	10	10q11.21
220980	10	10q11.21
220988	2	2q31.2
220992	10	10q11.21
221	11	11q13.2
2210	1	1p11.2
221002	10	10q11.21
221035	10	10q21.3
221037	10	10q21.3
221044	10	10p13
221060	10	10p13
221061	10	10p13
221074	10	10p12.33
221078	10	10p12.31
221079	10	10p12.31
221091	11	11q12.3
221092	11	11q12.3
221120	11	11p11.2
221122	11	11p11.2
221143	13	13q12.11
221150	13	13q12.11
221154	13	13q12.11
221178	13	13q12.12
221184	16	16q13
221188	16	16q21
221191	16	16q21
2212	1	1q23.3
221241	18	18q22.1
221262	6	6q21
221264	6	6q21
221294	6	6q22.1
2213	1	1q23.3
221301	6	6q22.1
221302	6	6q22.1
221303	6	6q22.1
221322	6	6q22.31
221336	6	6p12.1
221357	6	6p12.2
221391	6	6p12.3
221393	6	6p12.3
221395	6	6p12.3
2214	1	1q23.3
221400	6	6p12.3
221409	6	6p21.1
221416	6	6p21.1
221421	6	6p21.1
221424	6	6p21.1
221438	6	6p21.1
221442	6	6p21.1
221443	6	6p21.1
221458	6	6p21.2
221472	6	6p21.2
221476	6	6p21.2
221477	6	6p21.2
221481	6	6p21.31
221491	6	6p21.31
221496	6	6p21.31
2215	1	1q23.3
221584	6	6p22.1
221613	6	6p22.2
221656	6	6p22.3
221662	6	6p22.3
221687	6	6p23
2217	19	19q13.33
221710	6	6p24.2
221711	6	6p24.2
221718	6	6p24.3
221749	6	6p25.2
221785	7	7q22.1
221786	7	7q22.1
2218	9	9q31.2
221806	7	7p21.3
221823	7	7p21.1
221830	7	7p21.1
221833	7	7p21.1
221883	7	7p15.2
221895	7	7p15.2-p15.1
2219	9	9q34.3
221908	7	7q22.1
221914	7	7q22.1
221927	7	7p22.3
221935	7	7p22.2
221937	7	7p22.1
221938	7	7p22.1
221955	7	7p22.1
221960	7	7p22.1
221981	7	7p21.3
222	11	11q13.2
2220	9	9q34.3
222008	7	7p11.2
222029	7	7p11.2
222068	7	7p13
222161	7	7p14.3
222166	7	7p14.3
222171	7	7p14.3
222183	7	7q11.23
222194	7	7q11.23
222223	7	7q21.12
222229	7	7q22.1
222234	7	7q22.1
222235	7	7q22.1
222255	7	7q22.3
222256	7	7q22.3
222389	10	10p13
2224	1	1q22
222484	13	13q12.2
222487	16	16q21
222537	6	6q21-q22.1
222545	6	6q22.1
222546	6	6q22.1
222553	6	6q22.2-q22.31
222584	6	6p12.1
222611	6	6p12.3
222642	6	6p21.1
222643	6	6p21.1
222658	6	6p21.31
222659	6	6p21.31
222662	6	6p21.31
222663	6	6p21.31
222696	6	6p22.1
222698	6	6p22.1
222699	6	6p22.1
222826	6	6p25.2
222865	7	7q22.1
222894	7	7p21.1
222901	7	7p21.1
222950	7	7q22.1
222962	7	7p22.1
222967	7	7p22.1
223	1	1q24.1
2230	11	11q22.3
223075	7	7p14.3
223082	7	7p14.3
223117	7	7q21.11
2232	17	17q25.1
2235	18	18q21.31
2237	11	11q12.2
2239	X	Xq26.2
224	17	17p11.2
2241	5	5q21.3
2242	15	15q26.1
2243	4	4q31.3
2244	4	4q31.3
2245	X	Xp11.22
2246	5	5q31.3
2247	4	4q28.1
2248	11	11q13.3
2249	11	11q13.3
225	12	12q12
2250	4	4q21.21
2251	12	12p13.32
2252	15	15q21.2
2253	10	10q24.32
2254	13	13q12.11
2255	5	5p12
2257	3	3q28-q29
2258	X	Xq26.3-q27.1
2259	13	13q33.1
226	16	16p11.2
2260	8	8p11.23
2261	4	4p16.3
2262	13	13q31.3
2263	10	10q26.13
2264	5	5q35.2
2266	4	4q32.1
2267	8	8p22
2268	1	1p35.3
2271	1	1q43
2272	3	3p14.2
2273	X	Xq26.3
2274	2	2q12.2
2275	1	1p34.3
2277	X	Xp22.2
22794	17	17q21.1
22795	14	14q22.1
22796	1	1q42.2
22797	7	7q31.2
22798	7	7q31.1
2280	20	20p13
22800	11	11p15.2
22801	15	15q23
22802	1	1p22.3
22803	20	20p11.22
22806	17	17q12-q21.1
22807	2	2q34
22808	3	3q22.3
22809	19	19q13.33
2281	2	2p23.3
22818	12	12q13.13
22820	3	3q21.3
22822	12	12q21.2
22823	1	1p22.1
22824	4	4q28.1
22828	6	6q25.2
22829	Y	Yq11.221
22832	6	6q14.2-q14.3
22834	17	17q21.32-q21.33
22835	19	19q13.12
22836	5	5q15
22837	2	2q24.3
22838	5	5q35.2
22839	20	20q11.23
22841	10	10q26.11
22843	17	17q22
22844	9	9p13.2
22845	9	9q34.11
22846	14	14q24.3
22847	19	19q13.11
22848	2	2p13.3
22849	10	10q23.32
22850	18	18q23
22852	10	10p12.1
22853	7	7q21.3
22854	1	1p13.3
22856	15	15q26.3
22858	6	6p12.1
22859	19	19p13.12
2286	11	11q13.1
22861	17	17p13.2
22862	13	13q14.2
22863	14	14q22.3
22864	12	12q13.3
22865	3	3q26.1
22866	X	Xp22.12
22868	2	2q33.3
22869	9	9q22.33
2287	14	14q21.2
22870	19	19q13.42
22871	3	3q26.31
22872	4	4q21.22
22873	13	13q32.1
22874	1	1q32.1
22875	6	6p21.1
22876	10	10q26.11
22878	18	18q12.1
22879	16	16q23.1
2288	12	12p13.33
22880	22	22q12.2
22881	6	6q15
22882	8	8q24.13
22883	1	1p36.22
22884	10	10p15.3
22885	5	5q32
22887	1	1p34.2
22888	20	20p13
22889	1	1q22
2289	6	6p21.31
22890	14	14q23.3
22893	15	15q15.1
22894	13	13q21.33
22895	12	12q24.13
22897	11	11q23.3
22898	8	8q24.3
22899	17	17p13.1
229	9	9q31.1
2290	14	14q12
22900	19	19q13.33
22901	17	17q24.2
22902	4	4q13.3
22903	20	20p12.2
22905	17	17p11.2
22906	3	3p22.1
22907	3	3p21.31
22908	3	3p21.31
22911	1	1p13.3
22913	20	20q11.22
22914	12	12p13.2
22915	4	4q22.1
22916	3	3q29
22917	11	11q12.2
22918	20	20p11.21
22919	20	20q11.21
22920	1	1q24.2
22921	10	10p12.2
22924	2	2p23.3
22925	2	2q24.2
22926	1	1q23.3
22927	9	9q22.32
22928	16	16p11.2
22929	10	10p13
22930	2	2q21.3
22931	10	10p12.1
22934	2	2p11.2
22936	5	5q15
22937	3	3p21.31
22938	14	14q24.3
2294	16	16q24.1
22941	11	11q13.3-q13.4
22943	10	10q21.1
22944	10	10p14
22948	5	5p15.2
22949	9	9q31.3
2295	6	6p25.3
22950	2	2p23.3
22952	19	19q13.2
22953	12	12q24.33
22954	9	9q33.1
22955	1	1p34.2
2296	6	6p25.3
2297	5	5q13.2
22974	20	20q11.21
22976	7	7q36.2
22977	1	1p36.13
22978	10	10q24.32-q24.33
22979	2	2p23.3
2298	9	9p24.3
22980	16	16q24.3
22981	20	20p11.21
22982	10	10p15.3
22983	19	19p13.13
22984	10	10q24.33
22985	14	14q11.2
22986	10	10q25.1
22987	5	5q13.3
22989	3	3q13.13
2299	5	5q35.1
22990	14	14q24.2
22992	11	11q13.2
22993	5	5q32
22994	17	17q25.3
22995	15	15q21.1
22996	1	1p32.3
22997	11	11q25
22998	4	4p13
22999	6	6q13
230	17	17q11.2
2300	16	16q24.1
23001	4	4q21.23
23002	14	14q23.1
23005	15	15q15.1
23007	3	3q25.31
23008	7	7q32.2
2301	1	1p33
23011	12	12q21.1
23012	12	12p11.23
23013	1	1p36.21-p36.13
23014	12	12q24.22
23015	15	15q14
23016	3	3p21.31
23017	12	12q13.12
23019	16	16q21
2302	17	17q25.1
23020	2	2q11.2
23022	4	4q32.3
23023	3	3q22.1
23024	3	3p13
23025	19	19p13.11
23028	1	1p36.12
23029	1	1q42.3
2303	16	16q24.1
23030	19	19p13.3
23031	19	19p13.11
23032	1	1p31.1
23033	6	6q14.1
23034	14	14q22.2
23035	16	16q22.2
23036	6	6q14.3
23037	5	5p13.3
23038	1	1p36.11
23039	8	8p21.3
2304	9	9q22.33
23040	2	2p25.3
23041	12	12q14.1
23043	3	3q26.2-q26.31
23046	1	1q32.1
23047	13	13q13.1
23048	9	9q34.11
23049	16	16p12.3
2305	12	12p13.33
23051	20	20q12
23052	11	11q21
23053	10	10q22.2
23054	20	20q11.22
23057	1	1q25.3
23059	16	16p13.3
2306	1	1p33
23060	15	15q22.31
23062	16	16p12.2
23063	10	10q23.2
23064	9	9q34.13
23065	1	1p36.13
23066	3	3p25.2
23067	12	12q24.31
2307	20	20q11.21
23070	6	6p21.2
23071	9	9q31.1
23072	7	7p14.1-p13
23074	12	12q23.1
23075	11	11p15.4
23076	21	21q22.3
23077	13	13q22.3
23078	13	13q14.11
2308	13	13q14.11
23080	7	7p14.3
23081	9	9p24.1
23082	10	10q24.32
23086	11	11q22.3
23087	8	8p21.2
23089	7	7q21.3
2309	6	6q21
23090	16	16q12.1
23091	13	13q14.13
23092	5	5q31.3
23093	14	14q24.3
23094	19	19q13.13-q13.2
23095	1	1p36.22
23096	X	Xp11.22
23097	6	6q21
23098	17	17q11.2
23099	9	9q33.3
231	7	7q33
2310	17	17p11.2
23101	3	3q27.1
23102	15	15q24.3-q25.1
23105	5	5q31.1
23107	5	5q13.2
23108	17	17p13.3
23109	12	12q13.12
23111	13	13q13.3
23112	22	22q13.1
23113	6	6p21.1
23114	1	1q32.1
23116	14	14q21.2
23117	16	16p12.2
23118	6	6q25.1
23119	22	22q11.21
2312	1	1q21.3
23120	5	5q34
23122	3	3p22.3
23125	17	17p13.2
23126	1	1q21.3
23127	1	1q25.3
23129	3	3q22.1
2313	11	11q24.3
23130	11	11q13.1
23131	17	17q21.31
23132	3	3p21.2
23133	X	Xp11.22
23135	17	17p13.1
23136	18	18p11.31
23137	9	9q21.12
23138	5	5q35.3
23139	1	1p34.1
23140	17	17p13.2
23141	12	12q24.33
23142	4	4q12
23143	13	13q14.13-q14.2
23145	7	7q36.1
23148	7	7p13
23149	19	19p13.11
2315	9	9p24.1
23150	3	3p14.1
23151	22	22q13.31
23152	19	19q13.2
23154	1	1p34.3
23155	1	1p13.3
23157	X	Xq24
23158	4	4q31.21
2316	X	Xq28
23160	2	2p23.2
23161	7	7p21.1
23162	16	16p13.3
23163	17	17q25.1
23164	17	17p11.2
23165	7	7q33
23166	3	3p21.1
23167	8	8q24.22
23168	15	15q15.1
23169	1	1p31.3
2317	3	3p14.3
23170	22	22q13.2
23171	3	3p22.3
23172	10	10q26.13
23173	4	4q23
23174	16	16q24.2
23175	2	2p25.1
23176	5	5q31.1
23177	2	2p14
23178	2	2q37.3
23179	1	1q25.3
2318	7	7q32.1
23180	3	3p24.3
23181	21	21q22.3
23184	15	15q25.1
23185	10	10p15.3
23186	14	14q32.31-q32.32
23187	11	11q23.3
23189	9	9p24.3
2319	17	17q11.2
23190	2	2q21.3
23192	2	2q37.3
23193	11	11q12.3
23194	5	5p15.1
23195	6	6q15
23196	9	9q22.31
23197	5	5q35.2
23198	2	2p16.2
23199	16	16q24.1
23200	3	3q26.33
23201	11	11q13.4
23203	9	9q34.3
23204	16	16p12.3
23205	15	15q25.1
23207	1	1p36.21
23208	1	1q22
23209	22	22q13.33
2321	13	13q12.3
23210	17	17q25.1
23211	19	19q13.32
23212	8	8q13.1
23213	8	8q13.2-q13.3
23214	16	16p12.1
23215	1	1q24.3
23216	4	4p14
23217	19	19p13.3
23218	3	3p21.31
23219	1	1q42.11
2322	13	13q12.2
23220	11	11q12.1
23221	8	8p21.3
23223	10	10q24.1
23224	14	14q23.2
23225	3	3p25.1
23229	X	Xq11.1
2323	19	19q13.33
23230	9	9q21.2
23231	4	4p15.2
23232	10	10q23.33
23233	2	2p13.2
23234	10	10q22.2
23235	11	11q23.1
23236	20	20p12.3
23237	8	8q24.3
23239	18	18q21.33
2324	5	5q35.3
23240	4	4q31.3
23241	14	14q32.33
23242	7	7p12.1
23243	3	3p25.1
23244	4	4p14
23245	9	9q33.1
23247	16	16p12.1
23248	1	1q21.2
23250	13	13q34
23251	15	15q25.1
23252	1	1p36.13
23253	18	18p11.22
23254	1	1p36.21
23255	18	18p11.22
23256	14	14q12
23258	11	11p15.4
23259	8	8p11.23
2326	1	1q24.3
23261	1	1p36.31-p36.23
23262	5	5q21.1
23263	13	13q34
23264	22	22q13.2
23265	17	17q25.1
23266	1	1p31.1
23268	10	10q24.2
23269	15	15q15.1
2327	1	1q24.3
23270	6	6q22.1
23271	1	1q32.1
23272	3	3p14.3
23274	16	16p13.13
23275	21	21q22.3
23276	3	3p21.31
23277	17	17p13.3
2328	1	1q24.3
23281	13	13q12.3
23283	10	10q21.1
23284	4	4q13.1
23285	1	1p22.1
23286	5	5q34
23287	9	9q21.33
23288	7	7p22.3
2329	1	1q24.3
23291	5	5q35.1
23293	17	17p13.3
23294	6	6p21.31
23295	16	16p13.3
23299	9	9q22.31
2330	1	1q21.1
23300	16	16q23.2
23301	2	2p15
23302	17	17p13.2
23303	8	8p12
23304	6	6p21.1
23305	5	5q31.1
23306	12	12q13.3
23307	9	9q32
23308	21	21q22.3
23309	19	19p13.11
2331	1	1q32.1
23310	11	11q25
23312	15	15q21.2
23313	22	22q13.31
23314	2	2q33.1
23315	20	20q13.13
23316	12	12q24.11-q24.12
23317	3	3q22.1
23318	1	1p32.3
2332	X	Xq27.3
23321	4	4q31.3
23322	16	16q12.2
23324	4	4p16.1
23325	12	12q23.3
23326	17	17p11.2
